Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),100.40,0.00,72136.21,,,,,,106.90,,142.59,153.35,387.50,123.47
Active Decode Throughput Per User (tokens/sec/user),100.40,0.00,72136.21,,,,,,106.90,,142.59,153.35,387.50,123.47
Active Prefill Throughput (tokens/sec),7243.83,2184.79,10792.84,,,,,,8360.39,,10175.65,10337.83,10792.84,2898.69
Active Prefill Throughput Per User (tokens/sec/user),7243.83,2184.79,10792.84,,,,,,8360.39,,10175.65,10337.83,10792.84,2898.69
Active Total Throughput (tokens/sec),1181.34,58.48,10792.84,,,,,,103.01,,7085.60,9418.36,10309.26,2797.31
Credit-to-Start Latency (ms),1.29,0.72,3.07,51.46,0.73,0.75,0.82,0.92,1.23,1.48,1.71,2.18,2.82,0.48
Decode Duration (ms),6337.28,2618.51,16387.17,253491.32,2668.28,3218.01,3477.10,4357.52,5101.26,8054.86,10414.91,11050.69,14426.29,2904.71
E2E Output Token Throughput (tokens/sec/user),85.57,47.83,119.79,3422.81,50.07,58.75,63.35,73.52,85.01,94.02,113.14,118.36,119.66,18.24
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.05
Effective Decode Concurrency,0.85,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.36
Effective Decode Throughput (tokens/sec),84.96,0.00,72136.21,,,,,,101.25,,140.14,150.38,319.83,119.21
Effective Decode Throughput Per User (tokens/sec/user),84.96,0.00,72136.21,,,,,,101.25,,140.14,150.38,319.83,119.21
Effective Latency (CO-aware) (ms),7479.44,3499.94,19122.80,299177.52,3540.10,4039.70,4560.88,5235.20,6167.41,9220.93,11438.70,12198.05,16465.81,3142.95
Effective Prefill Concurrency,0.15,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.36
Effective Prefill Throughput (tokens/sec),1092.92,0.00,10792.84,,,,,,0.00,,7085.60,9418.36,10309.26,2826.69
Effective Prefill Throughput Per User (tokens/sec/user),1092.92,0.00,10792.84,,,,,,0.00,,7085.60,9418.36,10309.26,2826.69
Effective Total Throughput (tokens/sec),1177.89,0.00,10792.84,,,,,,103.01,,7085.60,9418.36,10309.26,2793.95
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,278.73,117.00,557.00,11149.00,118.95,126.75,140.00,181.00,246.50,401.25,438.00,454.10,525.02,118.92
HTTP Chunks Sent,1.00,1.00,1.00,40.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,40.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),133.45,54.85,257.92,5338.15,55.96,60.10,67.34,85.75,119.19,193.06,214.61,219.14,243.49,56.86
HTTP Data Sent (KB),34.67,32.72,36.89,1386.77,32.72,32.72,33.27,33.67,34.95,35.32,35.52,36.89,36.89,1.08
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),7478.08,3498.38,19121.28,299123.40,3538.84,4038.13,4559.43,5232.92,6166.51,9219.48,11437.07,12197.13,16464.55,3143.02
HTTP Receiving (ms),6346.58,2639.32,16392.98,253863.17,2689.47,3241.16,3482.26,4362.58,5105.54,8070.57,10420.16,11051.90,14439.28,2902.39
HTTP Sending (ms),0.13,0.10,0.25,5.37,0.10,0.10,0.10,0.10,0.13,0.16,0.17,0.18,0.23,0.03
HTTP Total Time (ms),7478.08,3498.38,19121.28,299123.40,3538.84,4038.13,4559.43,5232.92,6166.51,9219.48,11437.07,12197.13,16464.55,3143.02
HTTP Waiting (TTFB) (ms),1131.37,759.33,3751.58,45254.85,769.37,792.30,803.31,823.42,885.01,1103.30,1731.25,2733.14,3392.13,639.12
Input Sequence Length (tokens),8197.00,8197.00,8197.00,327880.00,8197.00,8197.00,8197.00,8197.00,8197.00,8197.00,8197.00,8197.00,8197.00,0.00
Inter Chunk Latency (ms),22.54,0.00,1905.66,253491.32,0.00,2.51,6.76,16.98,19.25,21.69,23.80,25.71,188.88,43.95
Inter Token Latency (ms),10.22,7.29,17.07,408.74,7.34,7.50,7.58,8.43,10.28,10.95,12.61,13.38,16.66,2.15
OSL Mismatch Diff % (%),-37.67,-74.90,0.00,-1506.93,-73.87,-71.52,-70.56,-61.45,-45.90,-5.88,0.00,0.00,0.00,27.09
Output Sequence Length (tokens),638.23,257.00,1024.00,25529.00,267.53,291.60,301.50,394.75,554.00,963.75,1024.00,1024.00,1024.00,277.36
Output Token Count (tokens),296.77,1.00,901.00,11574.00,1.00,3.70,74.40,128.50,195.00,375.50,748.40,760.20,848.18,250.09
Output Token Throughput Per User (tokens/sec/user),101.82,58.57,137.12,4072.72,60.07,74.88,79.30,91.38,97.29,118.63,131.92,133.34,136.19,19.51
Prefill Throughput Per User (tokens/sec/user),8403.77,2184.79,10792.84,336150.86,2462.29,2998.93,4790.21,7428.29,9259.56,9952.99,10201.98,10342.81,10654.25,2208.82
Reasoning Token Count (tokens),348.88,114.00,1024.00,13955.00,117.51,141.05,181.00,223.50,263.00,401.25,639.60,720.05,928.06,199.41
Request Latency (ms),7468.87,3477.65,19115.57,298754.67,3517.72,4015.08,4555.61,5218.66,6164.38,9217.65,11435.42,12195.99,16451.67,3145.53
Time to First Output Token (ms),4589.74,2117.66,10320.92,169820.54,2196.22,2443.16,2866.35,3315.21,3868.33,4870.72,6864.08,9806.60,10275.12,2003.08
Time to First Token (ms),1131.58,759.48,3751.85,45263.35,769.57,792.53,803.48,823.58,885.25,1103.48,1731.43,2733.48,3392.38,639.14
Time to Second Token (ms),23.11,0.00,43.96,924.32,0.02,1.17,8.22,15.88,24.38,30.96,36.68,38.45,42.24,10.99
Tokens In Flight (tokens),8489.13,0.00,9221.00,,,,,,8454.12,,8983.65,9076.56,9186.07,539.47
Usage Accepted Prediction Tokens (tokens),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Usage Completion Audio Tokens (tokens),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Usage Completion Tokens (tokens),638.23,257.00,1024.00,25529.00,267.53,291.60,301.50,394.75,554.00,963.75,1024.00,1024.00,1024.00,277.36
Usage Prompt Audio Tokens (tokens),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Usage Prompt Cache Read Tokens (tokens),4917.00,0.00,8195.00,196680.00,0.00,0.00,0.00,0.00,8195.00,8195.00,8195.00,8195.00,8195.00,4014.71
Usage Prompt Tokens (tokens),8197.00,8197.00,8197.00,327880.00,8197.00,8197.00,8197.00,8197.00,8197.00,8197.00,8197.00,8197.00,8197.00,0.00
Usage Reasoning Tokens (tokens),348.88,114.00,1024.00,13955.00,117.51,141.05,181.00,223.50,263.00,401.25,639.60,720.05,928.06,199.41
Usage Rejected Prediction Tokens (tokens),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Usage Total Tokens (tokens),8835.23,8454.00,9221.00,353409.00,8464.53,8488.60,8498.50,8591.75,8751.00,9160.75,9221.00,9221.00,9221.00,277.36

Metric,Value
Benchmark Duration (sec),299.38
Input Token Throughput (tokens/sec),1092.92
OSL Mismatch Count,31.00
Output Token Throughput (tokens/sec),85.10
Overall Usage Prompt Cache Read % (%),59.99
Request Count,40.00
Request Throughput (requests/sec),0.13
Total Input Sequence Length (tokens),327880.00
Total Output Sequence Length (tokens),25529.00
Total Output Tokens (tokens),11574.00
Total Reasoning Tokens (tokens),13955.00
Total Token Throughput (tokens/sec),1178.02
Total Usage Accepted Prediction Tokens (tokens),0.00
Total Usage Completion Audio Tokens (tokens),0.00
Total Usage Completion Tokens (tokens),25529.00
Total Usage Prompt Audio Tokens (tokens),0.00
Total Usage Prompt Cache Read Tokens (tokens),196680.00
Total Usage Prompt Tokens (tokens),327880.00
Total Usage Reasoning Tokens (tokens),13955.00
Total Usage Rejected Prediction Tokens (tokens),0.00
Total Usage Total Tokens (tokens),353409.00
