Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),147.93,0.00,516.52,,,,,,148.02,,164.99,173.57,209.04,24.58
Active Decode Throughput Per User (tokens/sec/user),147.93,0.00,516.52,,,,,,148.02,,164.99,173.57,209.04,24.58
Active Prefill Throughput (tokens/sec),4740.66,4740.66,4740.66,,,,,,4740.66,,4740.66,4740.66,4740.66,0.00
Active Prefill Throughput Per User (tokens/sec/user),4740.66,4740.66,4740.66,,,,,,4740.66,,4740.66,4740.66,4740.66,0.00
Active Total Throughput (tokens/sec),1066.87,147.93,4740.66,,,,,,147.93,,4740.66,4740.66,4740.66,1837.38
Credit-to-Start Latency (ms),1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,0.00
Decode Duration (ms),6902.93,6902.93,6902.93,6902.93,6902.93,6902.93,6902.93,6902.93,6902.93,6902.93,6902.93,6902.93,6902.93,0.00
E2E Output Token Throughput (tokens/sec/user),118.62,118.62,118.62,118.62,118.62,118.62,118.62,118.62,118.62,118.62,118.62,118.62,118.62,0.00
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.03
Effective Decode Concurrency,0.80,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.40
Effective Decode Throughput (tokens/sec),118.23,0.00,516.52,,,,,,144.60,,162.56,171.37,207.87,63.21
Effective Decode Throughput Per User (tokens/sec/user),118.23,0.00,516.52,,,,,,144.60,,162.56,171.37,207.87,63.21
Effective Latency (CO-aware) (ms),8646.13,8646.13,8646.13,8646.13,8646.13,8646.13,8646.13,8646.13,8646.13,8646.13,8646.13,8646.13,8646.13,0.00
Effective Prefill Concurrency,0.20,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.40
Effective Prefill Throughput (tokens/sec),947.68,0.00,4740.66,,,,,,0.00,,4740.66,4740.66,4740.66,1895.93
Effective Prefill Throughput Per User (tokens/sec/user),947.68,0.00,4740.66,,,,,,0.00,,4740.66,4740.66,4740.66,1895.93
Effective Total Throughput (tokens/sec),1065.91,0.00,4740.66,,,,,,147.93,,4740.66,4740.66,4740.66,1836.84
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,365.00,365.00,365.00,365.00,365.00,365.00,365.00,365.00,365.00,365.00,365.00,365.00,365.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),29.14,29.14,29.14,29.14,29.14,29.14,29.14,29.14,29.14,29.14,29.14,29.14,29.14,0.00
HTTP Connection Overhead (ms),31.17,31.17,31.17,31.17,31.17,31.17,31.17,31.17,31.17,31.17,31.17,31.17,31.17,0.00
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),146.41,146.41,146.41,146.41,146.41,146.41,146.41,146.41,146.41,146.41,146.41,146.41,146.41,0.00
HTTP Data Sent (KB),35.23,35.23,35.23,35.23,35.23,35.23,35.23,35.23,35.23,35.23,35.23,35.23,35.23,0.00
HTTP DNS Lookup (ms),2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,0.00
HTTP Duration (excl. conn) (ms),8644.80,8644.80,8644.80,8644.80,8644.80,8644.80,8644.80,8644.80,8644.80,8644.80,8644.80,8644.80,8644.80,0.00
HTTP Receiving (ms),6915.66,6915.66,6915.66,6915.66,6915.66,6915.66,6915.66,6915.66,6915.66,6915.66,6915.66,6915.66,6915.66,0.00
HTTP Sending (ms),29.67,29.67,29.67,29.67,29.67,29.67,29.67,29.67,29.67,29.67,29.67,29.67,29.67,0.00
HTTP Total Time (ms),8675.97,8675.97,8675.97,8675.97,8675.97,8675.97,8675.97,8675.97,8675.97,8675.97,8675.97,8675.97,8675.97,0.00
HTTP Waiting (TTFB) (ms),1699.47,1699.47,1699.47,1699.47,1699.47,1699.47,1699.47,1699.47,1699.47,1699.47,1699.47,1699.47,1699.47,0.00
Input Sequence Length (tokens),8200.00,8200.00,8200.00,8200.00,8200.00,8200.00,8200.00,8200.00,8200.00,8200.00,8200.00,8200.00,8200.00,0.00
Inter Chunk Latency (ms),18.96,0.00,66.48,6902.93,7.93,15.74,16.66,17.96,18.96,19.96,21.26,22.00,28.03,3.93
