Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),75.75,0.00,22581.80,,,,,,59.65,,74.14,83.27,354.26,278.57
Active Decode Throughput Per User (tokens/sec/user),75.75,0.00,22581.80,,,,,,59.65,,74.14,83.27,354.26,278.57
Active Prefill Throughput (tokens/sec),4912.68,4912.68,4912.68,,,,,,4912.68,,4912.68,4912.68,4912.68,0.00
Active Prefill Throughput Per User (tokens/sec/user),4912.68,4912.68,4912.68,,,,,,4912.68,,4912.68,4912.68,4912.68,0.00
Active Total Throughput (tokens/sec),703.32,75.75,4912.68,,,,,,75.75,,4912.68,4912.68,4912.68,1625.32
Credit-to-Start Latency (ms),1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,0.00
Decode Duration (ms),11194.36,11194.36,11194.36,11194.36,11194.36,11194.36,11194.36,11194.36,11194.36,11194.36,11194.36,11194.36,11194.36,0.00
E2E Output Token Throughput (tokens/sec/user),66.00,66.00,66.00,66.00,66.00,66.00,66.00,66.00,66.00,66.00,66.00,66.00,66.00,0.00
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.03
Effective Decode Concurrency,0.87,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.34
Effective Decode Throughput (tokens/sec),65.87,0.00,22581.80,,,,,,58.47,,69.56,82.41,250.96,261.01
Effective Decode Throughput Per User (tokens/sec/user),65.87,0.00,22581.80,,,,,,58.47,,69.56,82.41,250.96,261.01
Effective Latency (CO-aware) (ms),12864.71,12864.71,12864.71,12864.71,12864.71,12864.71,12864.71,12864.71,12864.71,12864.71,12864.71,12864.71,12864.71,0.00
Effective Prefill Concurrency,0.13,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.34
Effective Prefill Throughput (tokens/sec),636.83,0.00,4912.68,,,,,,0.00,,4912.68,4912.68,4912.68,1650.15
Effective Prefill Throughput Per User (tokens/sec/user),636.83,0.00,4912.68,,,,,,0.00,,4912.68,4912.68,4912.68,1650.15
Effective Total Throughput (tokens/sec),702.70,0.00,4912.68,,,,,,75.75,,4912.68,4912.68,4912.68,1624.74
