Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),70.73,0.00,117318.06,,,,,,54.63,,70.66,83.36,202.58,451.94
Active Decode Throughput Per User (tokens/sec/user),70.73,0.00,117318.06,,,,,,54.63,,70.66,83.36,202.58,451.94
Active Prefill Throughput (tokens/sec),3762.72,2271.42,5055.10,,,,,,4458.21,,5040.23,5055.10,5055.10,1204.38
Active Prefill Throughput Per User (tokens/sec/user),3762.72,2271.42,5055.10,,,,,,4458.21,,5040.23,5055.10,5055.10,1204.38
Active Total Throughput (tokens/sec),628.61,63.75,5055.10,,,,,,71.27,,2583.38,4754.89,5055.10,1402.74
Decode Duration (error-adjusted) (ms),,4736.41,,,8723.81,,,,,,,,,
Inter Token Latency (error-adjusted) (ms),,11.91,,,13.82,,,,,,,,,
Request Latency (error-adjusted) (ms),,6549.29,,,10562.21,,,,,,,,,
Time to First Token (error-adjusted) (ms),,1621.33,,,1632.36,,,,,,,,,
Credit-to-Start Latency (ms),0.90,0.51,5.60,202.42,0.54,0.61,0.66,0.75,0.83,0.92,0.99,1.12,2.36,0.43
Decode Duration (ms),12221.22,4736.41,16041.63,134433.47,4947.45,5791.62,6846.82,10455.52,14141.47,14472.25,15002.69,15522.16,15937.74,3557.06
E2E Output Token Throughput (tokens/sec/user),59.25,47.49,73.61,651.74,48.08,50.45,53.41,55.96,58.48,62.02,64.96,69.29,72.75,6.45
Effective Concurrency,0.53,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.50
Effective Decode Concurrency,0.45,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.50
Effective Decode Throughput (tokens/sec),31.73,0.00,117318.06,,,,,,0.00,,63.11,69.48,115.99,304.76
Effective Decode Throughput Per User (tokens/sec/user),31.73,0.00,117318.06,,,,,,0.00,,63.11,69.48,115.99,304.76
Effective Latency (CO-aware) (ms),702.52,0.51,17831.18,158769.06,0.54,0.61,0.66,0.75,0.83,0.92,0.99,1.91,17429.15,3215.27
Effective Prefill Concurrency,0.08,0.00,1.00,,,,,,0.00,,0.00,1.00,1.00,0.27
Effective Prefill Throughput (tokens/sec),300.52,0.00,5055.10,,,,,,0.00,,0.00,2583.38,5040.23,1075.31
Effective Prefill Throughput Per User (tokens/sec/user),300.52,0.00,5055.10,,,,,,0.00,,0.00,2583.38,5040.23,1075.31
Effective Total Throughput (tokens/sec),332.25,0.00,5055.10,,,,,,63.75,,83.92,2583.38,5040.23,1067.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,401.64,139.00,525.00,4418.00,147.80,183.00,227.00,351.00,449.00,493.00,512.00,518.50,523.70,121.87
HTTP Chunks Sent,1.00,1.00,1.00,11.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
