Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),59.16,0.00,3805.51,,,,,,62.94,,108.32,114.77,189.32,68.08
Active Decode Throughput Per User (tokens/sec/user),59.16,0.00,3805.51,,,,,,62.94,,108.32,114.77,189.32,68.08
Active Prefill Throughput (tokens/sec),4370.35,4370.35,4370.35,,,,,,4370.35,,4370.35,4370.35,4370.35,0.00
Active Prefill Throughput Per User (tokens/sec/user),4370.35,4370.35,4370.35,,,,,,4370.35,,4370.35,4370.35,4370.35,0.00
Active Total Throughput (tokens/sec),481.10,59.16,4370.35,,,,,,59.16,,59.16,4370.35,4370.35,1281.03
Credit-to-Start Latency (ms),1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,0.00
Decode Duration (ms),17275.72,17275.72,17275.72,17275.72,17275.72,17275.72,17275.72,17275.72,17275.72,17275.72,17275.72,17275.72,17275.72,0.00
E2E Output Token Throughput (tokens/sec/user),53.47,53.47,53.47,53.47,53.47,53.47,53.47,53.47,53.47,53.47,53.47,53.47,53.47,0.00
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.02
Effective Decode Concurrency,0.90,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.30
Effective Decode Throughput (tokens/sec),53.34,0.00,3805.51,,,,,,10.92,,107.74,114.22,166.74,67.01
Effective Decode Throughput Per User (tokens/sec/user),53.34,0.00,3805.51,,,,,,10.92,,107.74,114.22,166.74,67.01
Effective Latency (CO-aware) (ms),19170.36,19170.36,19170.36,19170.36,19170.36,19170.36,19170.36,19170.36,19170.36,19170.36,19170.36,19170.36,19170.36,0.00
Effective Prefill Concurrency,0.10,0.00,1.00,,,,,,0.00,,0.00,1.00,1.00,0.30
Effective Prefill Throughput (tokens/sec),427.54,0.00,4370.35,,,,,,0.00,,0.00,4370.35,4370.35,1298.35
Effective Prefill Throughput Per User (tokens/sec/user),427.54,0.00,4370.35,,,,,,0.00,,0.00,4370.35,4370.35,1298.35
Effective Total Throughput (tokens/sec),480.89,0.00,4370.35,,,,,,59.16,,59.16,4370.35,4370.35,1280.78
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,347.00,347.00,347.00,347.00,347.00,347.00,347.00,347.00,347.00,347.00,347.00,347.00,347.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),13.20,13.20,13.20,13.20,13.20,13.20,13.20,13.20,13.20,13.20,13.20,13.20,13.20,0.00
HTTP Connection Overhead (ms),14.84,14.84,14.84,14.84,14.84,14.84,14.84,14.84,14.84,14.84,14.84,14.84,14.84,0.00
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),152.59,152.59,152.59,152.59,152.59,152.59,152.59,152.59,152.59,152.59,152.59,152.59,152.59,0.00
HTTP Data Sent (KB),35.24,35.24,35.24,35.24,35.24,35.24,35.24,35.24,35.24,35.24,35.24,35.24,35.24,0.00
HTTP DNS Lookup (ms),1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,0.00
HTTP Duration (excl. conn) (ms),19168.48,19168.48,19168.48,19168.48,19168.48,19168.48,19168.48,19168.48,19168.48,19168.48,19168.48,19168.48,19168.48,0.00
HTTP Receiving (ms),17293.00,17293.00,17293.00,17293.00,17293.00,17293.00,17293.00,17293.00,17293.00,17293.00,17293.00,17293.00,17293.00,0.00
HTTP Sending (ms),13.61,13.61,13.61,13.61,13.61,13.61,13.61,13.61,13.61,13.61,13.61,13.61,13.61,0.00
HTTP Total Time (ms),19183.32,19183.32,19183.32,19183.32,19183.32,19183.32,19183.32,19183.32,19183.32,19183.32,19183.32,19183.32,19183.32,0.00
HTTP Waiting (TTFB) (ms),1861.87,1861.87,1861.87,1861.87,1861.87,1861.87,1861.87,1861.87,1861.87,1861.87,1861.87,1861.87,1861.87,0.00
Input Sequence Length (tokens),8199.00,8199.00,8199.00,8199.00,8199.00,8199.00,8199.00,8199.00,8199.00,8199.00,8199.00,8199.00,8199.00,0.00
Inter Chunk Latency (ms),49.22,0.00,364.22,17275.72,0.00,7.04,20.35,27.43,29.58,32.22,47.39,292.87,330.99,74.05
Inter Token Latency (ms),16.89,16.89,16.89,16.89,16.89,16.89,16.89,16.89,16.89,16.89,16.89,16.89,16.89,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
