Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),75.56,0.00,92618.87,,,,,,96.53,,128.39,141.94,199.82,117.77
Active Decode Throughput Per User (tokens/sec/user),75.56,0.00,92618.87,,,,,,96.53,,128.39,141.94,199.82,117.77
Active Prefill Throughput (tokens/sec),4480.32,2252.82,6000.82,,,,,,4932.92,,5683.91,5901.48,6000.82,1125.13
Active Prefill Throughput Per User (tokens/sec/user),4480.32,2252.82,6000.82,,,,,,4932.92,,5683.91,5901.48,6000.82,1125.13
Active Total Throughput (tokens/sec),673.81,47.00,6000.82,,,,,,80.60,,4264.20,5165.87,5683.91,1565.06
Credit-to-Start Latency (ms),1.16,0.64,3.46,25.46,0.67,0.78,0.83,0.90,1.02,1.09,1.71,1.85,3.12,0.57
Decode Duration (ms),11627.61,4663.86,21759.27,255807.31,4692.64,4838.68,5648.36,9044.26,11816.86,14149.38,16495.34,17593.82,20894.89,4277.40
E2E Output Token Throughput (tokens/sec/user),67.72,43.88,100.77,1489.91,45.74,52.77,53.52,55.84,66.61,73.34,82.37,91.22,98.86,13.41
Effective Concurrency,0.99,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.11
Effective Decode Concurrency,0.85,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.35
Effective Decode Throughput (tokens/sec),64.50,0.00,92618.87,,,,,,80.68,,125.80,138.65,185.39,112.04
Effective Decode Throughput Per User (tokens/sec/user),64.50,0.00,92618.87,,,,,,80.68,,125.80,138.65,185.39,112.04
Effective Latency (CO-aware) (ms),13470.01,6372.22,23346.25,296340.33,6493.37,6971.52,7465.14,10559.41,13407.10,16517.24,18492.63,19184.50,22479.85,4392.57
Effective Prefill Concurrency,0.13,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.34
Effective Prefill Throughput (tokens/sec),601.04,0.00,6000.82,,,,,,0.00,,4264.20,5165.87,5683.91,1581.58
Effective Prefill Throughput Per User (tokens/sec/user),601.04,0.00,6000.82,,,,,,0.00,,4264.20,5165.87,5683.91,1581.58
Effective Total Throughput (tokens/sec),665.53,0.00,6000.82,,,,,,80.60,,4264.20,5165.87,5683.91,1557.18
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,301.82,131.00,396.00,6640.00,132.47,140.45,187.10,281.25,333.00,355.50,374.10,379.75,392.64,78.73
HTTP Chunks Sent,1.00,1.00,1.00,22.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,22.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),123.49,50.56,163.95,2716.81,51.15,53.93,64.95,113.82,136.47,148.75,158.35,163.59,163.93,36.07
HTTP Data Sent (KB),35.33,33.89,37.08,777.22,33.99,34.36,34.54,34.70,34.93,36.09,36.64,36.67,37.00,0.88
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),13468.80,6371.15,23345.08,296313.55,6492.29,6970.42,7464.04,10558.15,13405.53,16516.38,18491.30,19183.55,22478.73,4392.48
HTTP Receiving (ms),11640.53,4672.69,21766.81,256091.55,4702.28,4851.49,5663.69,9058.09,11828.98,14160.71,16507.97,17604.08,20902.98,4276.47
HTTP Sending (ms),0.13,0.10,0.53,2.87,0.10,0.10,0.10,0.10,0.10,0.13,0.15,0.15,0.45,0.09
HTTP Total Time (ms),13468.80,6371.15,23345.08,296313.55,6492.29,6970.42,7464.04,10558.15,13405.53,16516.38,18491.30,19183.55,22478.73,4392.48
HTTP Waiting (TTFB) (ms),1828.14,1365.65,3637.96,40219.13,1370.48,1391.30,1453.26,1569.16,1606.67,1827.17,2239.07,3375.39,3594.98,573.68
Input Sequence Length (tokens),8196.00,8196.00,8196.00,180312.00,8196.00,8196.00,8196.00,8196.00,8196.00,8196.00,8196.00,8196.00,8196.00,0.00
Inter Chunk Latency (ms),38.27,0.00,927.91,255807.31,0.00,5.83,18.74,23.55,26.10,28.85,33.33,86.02,321.87,60.70
Inter Token Latency (ms),13.05,8.25,21.27,287.10,8.32,8.68,10.60,12.06,12.36,14.34,16.16,17.20,20.43,2.78
OSL Mismatch Diff % (%),-14.01,-62.30,0.00,-308.30,-61.67,-58.75,-48.66,-19.70,0.00,0.00,0.00,0.00,0.00,21.71
Output Sequence Length (tokens),880.50,386.00,1024.00,19371.00,392.51,422.35,525.70,822.25,1024.00,1024.00,1024.00,1024.00,1024.00,222.32
Output Token Count (tokens),354.67,135.00,780.00,5320.00,137.52,147.60,161.00,177.50,223.00,495.00,727.60,757.60,775.52,225.43
Output Token Throughput Per User (tokens/sec/user),79.98,47.01,121.23,1759.61,49.32,58.15,61.91,69.74,80.93,82.90,94.35,115.49,120.26,16.64
Prefill Throughput Per User (tokens/sec/user),4762.87,2252.82,6000.82,104783.19,2281.02,2447.83,3667.80,4474.69,5098.31,5222.63,5641.70,5890.60,5979.96,934.18
Reasoning Token Count (tokens),638.68,126.00,1024.00,14051.00,144.27,213.15,217.40,252.00,676.00,1024.00,1024.00,1024.00,1024.00,342.36
Request Latency (ms),13456.94,6358.55,23337.67,296052.64,6480.56,6961.59,7448.87,10544.38,13393.60,16511.69,18478.62,19173.34,22470.76,4393.41
Time to First Output Token (ms),8260.20,3317.70,16370.91,123903.01,3337.88,3418.61,3708.69,4708.56,5594.15,10861.84,14699.85,15388.39,16174.40,4340.52
Time to First Token (ms),1829.33,1365.81,3638.11,40245.33,1370.64,1391.46,1453.53,1569.34,1607.64,1831.64,2240.33,3375.56,3595.13,573.68
Time to Second Token (ms),40.93,0.00,281.48,900.41,0.00,0.00,0.00,0.65,21.96,27.56,97.59,231.89,272.47,72.92
Tokens In Flight (tokens),8500.79,0.00,9220.00,,,,,,8563.97,,9069.11,9148.96,9207.60,999.01
Usage Completion Audio Tokens (tokens),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Usage Completion Tokens (tokens),880.50,386.00,1024.00,19371.00,392.51,422.35,525.70,822.25,1024.00,1024.00,1024.00,1024.00,1024.00,222.32
Usage Prompt Audio Tokens (tokens),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Usage Prompt Cache Read Tokens (tokens),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Usage Prompt Tokens (tokens),8196.00,8196.00,8196.00,180312.00,8196.00,8196.00,8196.00,8196.00,8196.00,8196.00,8196.00,8196.00,8196.00,0.00
Usage Reasoning Tokens (tokens),638.68,126.00,1024.00,14051.00,144.27,213.15,217.40,252.00,676.00,1024.00,1024.00,1024.00,1024.00,342.36
Usage Total Tokens (tokens),9076.50,8582.00,9220.00,199683.00,8588.51,8618.35,8721.70,9018.25,9220.00,9220.00,9220.00,9220.00,9220.00,222.32

Metric,Value
Benchmark Duration (sec),296.36
Input Token Throughput (tokens/sec),601.04
OSL Mismatch Count,8.00
Output Token Throughput (tokens/sec),64.57
Overall Usage Prompt Cache Read % (%),0.00
Request Count,22.00
Request Throughput (requests/sec),0.07
Total Input Sequence Length (tokens),180312.00
Total Output Sequence Length (tokens),19371.00
Total Output Tokens (tokens),5320.00
Total Reasoning Tokens (tokens),14051.00
Total Token Throughput (tokens/sec),665.60
Total Usage Completion Audio Tokens (tokens),0.00
Total Usage Completion Tokens (tokens),19371.00
Total Usage Prompt Audio Tokens (tokens),0.00
Total Usage Prompt Cache Read Tokens (tokens),0.00
Total Usage Prompt Tokens (tokens),180312.00
Total Usage Reasoning Tokens (tokens),14051.00
Total Usage Total Tokens (tokens),199683.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
