Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),68.46,0.00,112648.68,,,,,,64.25,,80.17,88.23,161.01,230.81
Active Decode Throughput Per User (tokens/sec/user),68.46,0.00,112648.68,,,,,,64.25,,80.17,88.23,161.01,230.81
Active Prefill Throughput (tokens/sec),2965.04,426.12,12780.17,,,,,,2430.80,,5979.45,6107.15,12780.17,2703.04
Active Prefill Throughput Per User (tokens/sec/user),2965.04,426.12,12780.17,,,,,,2430.80,,5979.45,6107.15,12780.17,2703.04
Active Total Throughput (tokens/sec),597.70,58.98,12780.17,,,,,,69.97,,1662.76,4864.22,6107.15,1608.69
Credit-to-Start Latency (ms),2.64,1.14,4.66,50.10,1.18,1.36,1.43,1.69,2.19,3.99,4.15,4.34,4.60,1.16
Decode Duration (ms),12359.25,6310.54,16498.57,234825.67,6488.92,7202.45,7736.30,9327.65,13861.42,14788.84,15457.10,16244.35,16447.73,3193.68
E2E Output Token Throughput (tokens/sec/user),57.48,30.25,68.20,1092.08,32.21,40.06,42.42,57.39,59.70,63.77,66.02,66.81,67.92,9.69
Effective Concurrency,0.96,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.20
Effective Decode Concurrency,0.78,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.41
Effective Decode Throughput (tokens/sec),53.61,0.00,112648.68,,,,,,60.53,,77.95,84.68,141.14,206.19
Effective Decode Throughput Per User (tokens/sec/user),53.61,0.00,112648.68,,,,,,60.53,,77.95,84.68,141.14,206.19
Effective Latency (CO-aware) (ms),15131.38,9188.22,33849.86,287496.30,9197.81,9236.19,9492.35,11933.76,15528.69,16270.59,17311.53,19500.91,30980.07,5226.48
Effective Prefill Concurrency,0.18,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.38
Effective Prefill Throughput (tokens/sec),519.08,0.00,12780.17,,,,,,0.00,,1662.76,4864.22,6107.15,1596.48
Effective Prefill Throughput Per User (tokens/sec/user),519.08,0.00,12780.17,,,,,,0.00,,1662.76,4864.22,6107.15,1596.48
Effective Total Throughput (tokens/sec),572.69,0.00,12780.17,,,,,,69.47,,1662.76,4864.22,6107.15,1579.21
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,334.47,171.00,447.00,6355.00,176.58,198.90,202.00,252.50,352.00,404.00,415.00,429.00,443.40,85.42
HTTP Chunks Sent,1.00,1.00,1.00,19.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,19.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),240.38,106.92,295.16,4567.31,115.49,149.76,155.14,186.48,287.25,288.00,295.09,295.13,295.15,61.06
HTTP Data Sent (KB),34.60,32.74,36.91,657.31,32.74,32.74,33.23,33.69,34.97,35.34,35.40,35.67,36.67,1.06
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),15128.68,9185.81,33848.36,287444.88,9195.47,9234.08,9490.51,11929.62,15527.25,16267.35,17309.75,19498.23,30978.33,5226.70
HTTP Receiving (ms),12364.54,6358.51,16498.58,234926.20,6528.26,7207.25,7736.30,9327.64,13861.58,14789.25,15457.09,16244.35,16447.73,3188.32
HTTP Sending (ms),0.14,0.10,0.19,2.63,0.10,0.10,0.10,0.11,0.15,0.17,0.17,0.17,0.18,0.03
HTTP Total Time (ms),15128.68,9185.81,33848.36,287444.88,9195.47,9234.08,9490.51,11929.62,15527.25,16267.35,17309.75,19498.23,30978.33,5226.70
HTTP Waiting (TTFB) (ms),2764.00,641.06,19234.06,52516.04,650.54,688.49,894.76,1357.53,1420.67,2512.78,3682.97,6359.45,16659.14,4008.56
Input Sequence Length (tokens),8196.00,8196.00,8196.00,155724.00,8196.00,8196.00,8196.00,8196.00,8196.00,8196.00,8196.00,8196.00,8196.00,0.00
Inter Chunk Latency (ms),14.62,0.00,2446.42,234825.67,0.00,0.00,0.00,0.00,0.00,35.93,40.73,44.22,61.55,38.30
Inter Token Latency (ms),14.66,12.41,16.83,278.55,12.50,12.85,13.30,14.12,14.41,15.69,16.13,16.21,16.71,1.15
OSL Mismatch Diff % (%),-17.23,-63.28,0.00,-327.44,-60.29,-48.34,-46.68,-36.23,0.00,0.00,0.00,0.00,0.00,21.13
Output Sequence Length (tokens),847.53,376.00,1024.00,16103.00,406.60,529.00,546.00,653.00,1024.00,1024.00,1024.00,1024.00,1024.00,216.34
Output Token Count (tokens),473.81,130.00,789.00,7581.00,130.90,134.50,156.50,220.25,439.50,758.50,782.00,784.50,788.10,268.96
Output Token Throughput Per User (tokens/sec/user),68.64,59.42,80.61,1304.07,59.88,61.68,61.99,63.75,69.38,70.82,75.21,77.80,80.05,5.45
Prefill Throughput Per User (tokens/sec/user),5429.24,426.12,12780.18,103155.49,648.71,1539.09,2277.19,3274.72,5768.21,6037.14,9299.15,11908.18,12605.78,3018.19
Reasoning Token Count (tokens),448.53,199.00,1024.00,8522.00,205.48,231.40,237.40,243.00,284.00,553.00,1024.00,1024.00,1024.00,282.16
Request Latency (ms),15123.45,9137.89,33848.41,287345.61,9156.19,9229.36,9490.59,11929.71,15526.47,16267.43,17309.82,19498.28,30978.39,5229.64
Time to First Output Token (ms),7377.90,4834.63,11940.01,118046.39,4936.57,5344.32,5529.03,5749.51,6583.15,8769.71,10522.88,11278.95,11807.80,2130.58
Time to First Token (ms),2764.21,641.31,19234.21,52519.94,650.77,688.65,894.95,1357.72,1420.89,2512.99,3683.21,6359.67,16659.30,4008.55
Time to Second Token (ms),29.73,0.00,46.17,564.83,3.81,19.03,23.12,27.74,31.35,32.96,36.62,38.82,44.70,8.81
Tokens In Flight (tokens),8183.65,0.00,9220.00,,,,,,8465.58,,9005.79,9098.88,9195.00,1736.25
Usage Completion Tokens (tokens),847.53,376.00,1024.00,16103.00,406.60,529.00,546.00,653.00,1024.00,1024.00,1024.00,1024.00,1024.00,216.34
Usage Prompt Cache Read Tokens (tokens),3019.21,0.00,8195.00,57365.00,0.00,0.00,0.00,0.00,0.00,8195.00,8195.00,8195.00,8195.00,3953.07
Usage Prompt Tokens (tokens),8196.00,8196.00,8196.00,155724.00,8196.00,8196.00,8196.00,8196.00,8196.00,8196.00,8196.00,8196.00,8196.00,0.00
Usage Reasoning Tokens (tokens),448.53,199.00,1024.00,8522.00,205.48,231.40,237.40,243.00,284.00,553.00,1024.00,1024.00,1024.00,282.16
Usage Total Tokens (tokens),9043.53,8572.00,9220.00,171827.00,8602.60,8725.00,8742.00,8849.00,9220.00,9220.00,9220.00,9220.00,9220.00,216.34

Metric,Value
Benchmark Duration (sec),287.59
Input Token Throughput (tokens/sec),519.08
OSL Mismatch Count,9.00
Output Token Throughput (tokens/sec),53.68
Overall Usage Prompt Cache Read % (%),36.84
Request Count,19.00
Request Throughput (requests/sec),0.06
Total Input Sequence Length (tokens),155724.00
Total Output Sequence Length (tokens),16103.00
Total Output Tokens (tokens),7581.00
Total Reasoning Tokens (tokens),8522.00
Total Token Throughput (tokens/sec),572.75
Total Usage Completion Tokens (tokens),16103.00
Total Usage Prompt Cache Read Tokens (tokens),57365.00
Total Usage Prompt Tokens (tokens),155724.00
Total Usage Reasoning Tokens (tokens),8522.00
Total Usage Total Tokens (tokens),171827.00
