Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),66.81,0.00,27336.86,,,,,,65.86,,73.43,81.21,119.25,166.37
Active Decode Throughput Per User (tokens/sec/user),66.81,0.00,27336.86,,,,,,65.86,,73.43,81.21,119.25,166.37
Active Prefill Throughput (tokens/sec),5146.16,5146.16,5146.16,,,,,,5146.16,,5146.16,5146.16,5146.16,0.00
Active Prefill Throughput Per User (tokens/sec/user),5146.16,5146.16,5146.16,,,,,,5146.16,,5146.16,5146.16,5146.16,0.00
Active Total Throughput (tokens/sec),737.24,66.81,5146.16,,,,,,66.81,,5146.16,5146.16,5146.16,1719.26
Credit-to-Start Latency (ms),1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,0.00
Decode Duration (ms),10468.53,10468.53,10468.53,10468.53,10468.53,10468.53,10468.53,10468.53,10468.53,10468.53,10468.53,10468.53,10468.53,0.00
E2E Output Token Throughput (tokens/sec/user),58.12,58.12,58.12,58.12,58.12,58.12,58.12,58.12,58.12,58.12,58.12,58.12,58.12,0.00
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.02
Effective Decode Concurrency,0.87,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.34
Effective Decode Throughput (tokens/sec),57.96,0.00,27336.86,,,,,,64.76,,72.71,80.28,119.25,156.60
Effective Decode Throughput Per User (tokens/sec/user),57.96,0.00,27336.86,,,,,,64.76,,72.71,80.28,119.25,156.60
Effective Latency (CO-aware) (ms),12071.96,12071.96,12071.96,12071.96,12071.96,12071.96,12071.96,12071.96,12071.96,12071.96,12071.96,12071.96,12071.96,0.00
Effective Prefill Concurrency,0.13,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.34
Effective Prefill Throughput (tokens/sec),678.85,0.00,5146.16,,,,,,0.00,,5146.16,5146.16,5146.16,1741.44
Effective Prefill Throughput Per User (tokens/sec/user),678.85,0.00,5146.16,,,,,,0.00,,5146.16,5146.16,5146.16,1741.44
Effective Total Throughput (tokens/sec),736.80,0.00,5146.16,,,,,,66.81,,5146.16,5146.16,5146.16,1718.85
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,278.00,278.00,278.00,278.00,278.00,278.00,278.00,278.00,278.00,278.00,278.00,278.00,278.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),83.03,83.03,83.03,83.03,83.03,83.03,83.03,83.03,83.03,83.03,83.03,83.03,83.03,0.00
HTTP Connection Overhead (ms),85.75,85.75,85.75,85.75,85.75,85.75,85.75,85.75,85.75,85.75,85.75,85.75,85.75,0.00
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),201.55,201.55,201.55,201.55,201.55,201.55,201.55,201.55,201.55,201.55,201.55,201.55,201.55,0.00
HTTP Data Sent (KB),35.19,35.19,35.19,35.19,35.19,35.19,35.19,35.19,35.19,35.19,35.19,35.19,35.19,0.00
HTTP DNS Lookup (ms),2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,0.00
HTTP Duration (excl. conn) (ms),12070.52,12070.52,12070.52,12070.52,12070.52,12070.52,12070.52,12070.52,12070.52,12070.52,12070.52,12070.52,12070.52,0.00
HTTP Receiving (ms),10477.51,10477.51,10477.51,10477.51,10477.51,10477.51,10477.51,10477.51,10477.51,10477.51,10477.51,10477.51,10477.51,0.00
HTTP Sending (ms),83.50,83.50,83.50,83.50,83.50,83.50,83.50,83.50,83.50,83.50,83.50,83.50,83.50,0.00
HTTP Total Time (ms),12156.27,12156.27,12156.27,12156.27,12156.27,12156.27,12156.27,12156.27,12156.27,12156.27,12156.27,12156.27,12156.27,0.00
HTTP Waiting (TTFB) (ms),1509.52,1509.52,1509.52,1509.52,1509.52,1509.52,1509.52,1509.52,1509.52,1509.52,1509.52,1509.52,1509.52,0.00
Input Sequence Length (tokens),8199.00,8199.00,8199.00,8199.00,8199.00,8199.00,8199.00,8199.00,8199.00,8199.00,8199.00,8199.00,8199.00,0.00
Inter Chunk Latency (ms),15.00,0.00,287.94,10468.53,0.00,0.00,0.00,0.00,0.00,36.94,39.82,42.74,63.58,23.66
Inter Token Latency (ms),14.96,14.96,14.96,14.96,14.96,14.96,14.96,14.96,14.96,14.96,14.96,14.96,14.96,0.00
OSL Mismatch Diff % (%),-31.54,-31.54,-31.54,-31.54,-31.54,-31.54,-31.54,-31.54,-31.54,-31.54,-31.54,-31.54,-31.54,0.00
Output Sequence Length (tokens),701.00,701.00,701.00,701.00,701.00,701.00,701.00,701.00,701.00,701.00,701.00,701.00,701.00,0.00
Output Token Count (tokens),48.00,48.00,48.00,48.00,48.00,48.00,48.00,48.00,48.00,48.00,48.00,48.00,48.00,0.00
Output Token Throughput Per User (tokens/sec/user),66.87,66.87,66.87,66.87,66.87,66.87,66.87,66.87,66.87,66.87,66.87,66.87,66.87,0.00
Prefill Throughput Per User (tokens/sec/user),5146.16,5146.16,5146.16,5146.16,5146.16,5146.16,5146.16,5146.16,5146.16,5146.16,5146.16,5146.16,5146.16,0.00
Reasoning Token Count (tokens),653.00,653.00,653.00,653.00,653.00,653.00,653.00,653.00,653.00,653.00,653.00,653.00,653.00,0.00
Request Latency (ms),12061.76,12061.76,12061.76,12061.76,12061.76,12061.76,12061.76,12061.76,12061.76,12061.76,12061.76,12061.76,12061.76,0.00
Time to First Output Token (ms),11627.14,11627.14,11627.14,11627.14,11627.14,11627.14,11627.14,11627.14,11627.14,11627.14,11627.14,11627.14,11627.14,0.00
Time to First Token (ms),1593.23,1593.23,1593.23,1593.23,1593.23,1593.23,1593.23,1593.23,1593.23,1593.23,1593.23,1593.23,1593.23,0.00
Time to Second Token (ms),33.53,33.53,33.53,33.53,33.53,33.53,33.53,33.53,33.53,33.53,33.53,33.53,33.53,0.00
Tokens In Flight (tokens),8461.53,0.00,8900.00,,,,,,8444.70,,8769.63,8843.84,8887.97,298.74
Usage Completion Tokens (tokens),701.00,701.00,701.00,701.00,701.00,701.00,701.00,701.00,701.00,701.00,701.00,701.00,701.00,0.00
Usage Prompt Cache Read Tokens (tokens),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Usage Prompt Tokens (tokens),8199.00,8199.00,8199.00,8199.00,8199.00,8199.00,8199.00,8199.00,8199.00,8199.00,8199.00,8199.00,8199.00,0.00
Usage Reasoning Tokens (tokens),653.00,653.00,653.00,653.00,653.00,653.00,653.00,653.00,653.00,653.00,653.00,653.00,653.00,0.00
Usage Total Tokens (tokens),8900.00,8900.00,8900.00,8900.00,8900.00,8900.00,8900.00,8900.00,8900.00,8900.00,8900.00,8900.00,8900.00,0.00

Metric,Value
Benchmark Duration (sec),12.06
Input Token Throughput (tokens/sec),678.85
OSL Mismatch Count,1.00
Output Token Throughput (tokens/sec),58.04
Overall Usage Prompt Cache Read % (%),0.00
Request Count,1.00
Request Throughput (requests/sec),0.08
Total Input Sequence Length (tokens),8199.00
Total Output Sequence Length (tokens),701.00
Total Output Tokens (tokens),48.00
Total Reasoning Tokens (tokens),653.00
Total Token Throughput (tokens/sec),736.89
Total Usage Completion Tokens (tokens),701.00
Total Usage Prompt Cache Read Tokens (tokens),0.00
