Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),92.98,0.00,77533.65,,,,,,110.61,,159.21,173.33,222.72,116.01
Active Decode Throughput Per User (tokens/sec/user),92.98,0.00,77533.65,,,,,,110.61,,159.21,173.33,222.72,116.01
Active Prefill Throughput (tokens/sec),8507.32,3314.62,10222.56,,,,,,8707.31,,9996.66,10065.90,10222.56,1661.38
Active Prefill Throughput Per User (tokens/sec/user),8507.32,3314.62,10222.56,,,,,,8707.31,,9996.66,10065.90,10222.56,1661.38
Active Total Throughput (tokens/sec),1080.70,31.42,10222.56,,,,,,94.20,,7905.29,8835.06,10022.10,2767.74
Credit-to-Start Latency (ms),1.28,0.76,2.53,45.96,0.77,0.82,0.89,1.00,1.16,1.48,1.77,1.85,2.30,0.38
Decode Duration (ms),7243.48,3111.56,20905.01,260765.23,3365.82,3967.56,4302.63,4927.50,5663.32,8009.26,12737.95,13957.47,18704.37,3719.42
E2E Output Token Throughput (tokens/sec/user),90.75,30.16,142.79,3266.94,31.00,52.41,64.42,74.17,91.82,110.35,117.87,124.26,139.36,24.84
Effective Concurrency,0.99,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.12
Effective Decode Concurrency,0.87,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.34
Effective Decode Throughput (tokens/sec),80.92,0.00,77533.65,,,,,,98.01,,156.48,170.02,217.50,112.64
Effective Decode Throughput Per User (tokens/sec/user),80.92,0.00,77533.65,,,,,,98.01,,156.48,170.02,217.50,112.64
Effective Latency (CO-aware) (ms),8217.54,4106.49,21817.03,295831.29,4298.08,4929.67,5192.44,5781.82,6684.27,9120.04,13687.52,14824.07,19647.61,3717.01
Effective Prefill Concurrency,0.12,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.32
Effective Prefill Throughput (tokens/sec),984.59,0.00,10222.56,,,,,,0.00,,7484.28,8835.06,10022.10,2779.62
