Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),126.32,0.00,1191.91,,,,,,132.82,,154.13,160.78,177.46,40.93
Active Decode Throughput Per User (tokens/sec/user),126.32,0.00,1191.91,,,,,,132.82,,154.13,160.78,177.46,40.93
Active Prefill Throughput (tokens/sec),8988.51,8988.51,8988.51,,,,,,8988.51,,8988.51,8988.51,8988.51,0.00
Active Prefill Throughput Per User (tokens/sec/user),8988.51,8988.51,8988.51,,,,,,8988.51,,8988.51,8988.51,8988.51,0.00
Active Total Throughput (tokens/sec),1384.73,126.32,8988.51,,,,,,126.32,,8988.51,8988.51,8988.51,3093.33
Credit-to-Start Latency (ms),1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,0.00
Decode Duration (ms),5517.15,5517.15,5517.15,5517.15,5517.15,5517.15,5517.15,5517.15,5517.15,5517.15,5517.15,5517.15,5517.15,0.00
E2E Output Token Throughput (tokens/sec/user),108.55,108.55,108.55,108.55,108.55,108.55,108.55,108.55,108.55,108.55,108.55,108.55,108.55,0.00
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.03
Effective Decode Concurrency,0.86,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.35
Effective Decode Throughput (tokens/sec),108.29,0.00,1191.91,,,,,,127.24,,153.59,160.18,172.20,58.21
Effective Decode Throughput Per User (tokens/sec/user),108.29,0.00,1191.91,,,,,,127.24,,153.59,160.18,172.20,58.21
Effective Latency (CO-aware) (ms),6432.41,6432.41,6432.41,6432.41,6432.41,6432.41,6432.41,6432.41,6432.41,6432.41,6432.41,6432.41,6432.41,0.00
Effective Prefill Concurrency,0.14,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.35
Effective Prefill Throughput (tokens/sec),1275.27,0.00,8988.51,,,,,,0.00,,8988.51,8988.51,8988.51,3136.32
Effective Prefill Throughput Per User (tokens/sec/user),1275.27,0.00,8988.51,,,,,,0.00,,8988.51,8988.51,8988.51,3136.32
Effective Total Throughput (tokens/sec),1383.56,0.00,8988.51,,,,,,126.32,,8988.51,8988.51,8988.51,3092.29
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,265.00,265.00,265.00,265.00,265.00,265.00,265.00,265.00,265.00,265.00,265.00,265.00,265.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),49.66,49.66,49.66,49.66,49.66,49.66,49.66,49.66,49.66,49.66,49.66,49.66,49.66,0.00
HTTP Connection Overhead (ms),50.59,50.59,50.59,50.59,50.59,50.59,50.59,50.59,50.59,50.59,50.59,50.59,50.59,0.00
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),121.12,121.12,121.12,121.12,121.12,121.12,121.12,121.12,121.12,121.12,121.12,121.12,121.12,0.00
HTTP Data Sent (KB),35.05,35.05,35.05,35.05,35.05,35.05,35.05,35.05,35.05,35.05,35.05,35.05,35.05,0.00
HTTP DNS Lookup (ms),0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.00
HTTP Duration (excl. conn) (ms),6430.65,6430.65,6430.65,6430.65,6430.65,6430.65,6430.65,6430.65,6430.65,6430.65,6430.65,6430.65,6430.65,0.00
HTTP Receiving (ms),5517.70,5517.70,5517.70,5517.70,5517.70,5517.70,5517.70,5517.70,5517.70,5517.70,5517.70,5517.70,5517.70,0.00
HTTP Sending (ms),50.06,50.06,50.06,50.06,50.06,50.06,50.06,50.06,50.06,50.06,50.06,50.06,50.06,0.00
HTTP Total Time (ms),6481.24,6481.24,6481.24,6481.24,6481.24,6481.24,6481.24,6481.24,6481.24,6481.24,6481.24,6481.24,6481.24,0.00
HTTP Waiting (TTFB) (ms),862.89,862.89,862.89,862.89,862.89,862.89,862.89,862.89,862.89,862.89,862.89,862.89,862.89,0.00
Input Sequence Length (tokens),8208.00,8208.00,8208.00,8208.00,8208.00,8208.00,8208.00,8208.00,8208.00,8208.00,8208.00,8208.00,8208.00,0.00
Inter Chunk Latency (ms),20.98,2.22,201.13,5517.15,14.90,16.21,16.78,18.13,19.39,21.44,22.41,22.85,31.26,15.66
Inter Token Latency (ms),7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,0.00
OSL Mismatch Diff % (%),-31.84,-31.84,-31.84,-31.84,-31.84,-31.84,-31.84,-31.84,-31.84,-31.84,-31.84,-31.84,-31.84,0.00
Output Sequence Length (tokens),698.00,698.00,698.00,698.00,698.00,698.00,698.00,698.00,698.00,698.00,698.00,698.00,698.00,0.00
Output Token Count (tokens),698.00,698.00,698.00,698.00,698.00,698.00,698.00,698.00,698.00,698.00,698.00,698.00,698.00,0.00
Output Token Throughput Per User (tokens/sec/user),126.33,126.33,126.33,126.33,126.33,126.33,126.33,126.33,126.33,126.33,126.33,126.33,126.33,0.00
Prefill Throughput Per User (tokens/sec/user),8988.51,8988.51,8988.51,8988.51,8988.51,8988.51,8988.51,8988.51,8988.51,8988.51,8988.51,8988.51,8988.51,0.00
Reasoning Token Count (tokens),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Request Latency (ms),6430.32,6430.32,6430.32,6430.32,6430.32,6430.32,6430.32,6430.32,6430.32,6430.32,6430.32,6430.32,6430.32,0.00
Time to First Output Token (ms),913.17,913.17,913.17,913.17,913.17,913.17,913.17,913.17,913.17,913.17,913.17,913.17,913.17,0.00
Time to First Token (ms),913.17,913.17,913.17,913.17,913.17,913.17,913.17,913.17,913.17,913.17,913.17,913.17,913.17,0.00
Time to Second Token (ms),19.49,19.49,19.49,19.49,19.49,19.49,19.49,19.49,19.49,19.49,19.49,19.49,19.49,0.00
Tokens In Flight (tokens),8487.20,0.00,8906.00,,,,,,8468.72,,8821.19,8860.95,8895.40,334.11
Usage Accepted Prediction Tokens (tokens),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Usage Completion Audio Tokens (tokens),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Usage Completion Tokens (tokens),698.00,698.00,698.00,698.00,698.00,698.00,698.00,698.00,698.00,698.00,698.00,698.00,698.00,0.00
Usage Prompt Audio Tokens (tokens),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Usage Prompt Cache Read Tokens (tokens),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Usage Prompt Tokens (tokens),8208.00,8208.00,8208.00,8208.00,8208.00,8208.00,8208.00,8208.00,8208.00,8208.00,8208.00,8208.00,8208.00,0.00
Usage Reasoning Tokens (tokens),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Usage Rejected Prediction Tokens (tokens),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Usage Total Tokens (tokens),8906.00,8906.00,8906.00,8906.00,8906.00,8906.00,8906.00,8906.00,8906.00,8906.00,8906.00,8906.00,8906.00,0.00

Metric,Value
Benchmark Duration (sec),6.43
Input Token Throughput (tokens/sec),1275.27
OSL Mismatch Count,1.00
Output Token Throughput (tokens/sec),108.45
Overall Usage Prompt Cache Read % (%),0.00
Request Count,1.00
Request Throughput (requests/sec),0.16
Total Input Sequence Length (tokens),8208.00
Total Output Sequence Length (tokens),698.00
Total Output Tokens (tokens),698.00
Total Reasoning Tokens (tokens),0.00
Total Token Throughput (tokens/sec),1383.72
Total Usage Accepted Prediction Tokens (tokens),0.00
Total Usage Completion Audio Tokens (tokens),0.00
Total Usage Completion Tokens (tokens),698.00
Total Usage Prompt Audio Tokens (tokens),0.00
Total Usage Prompt Cache Read Tokens (tokens),0.00
Total Usage Prompt Tokens (tokens),8208.00
Total Usage Reasoning Tokens (tokens),0.00
Total Usage Rejected Prediction Tokens (tokens),0.00
Total Usage Total Tokens (tokens),8906.00
