Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),90.35,0.00,81216.77,,,,,,78.75,,102.62,115.37,329.49,445.35
Active Decode Throughput Per User (tokens/sec/user),90.35,0.00,81216.77,,,,,,78.75,,102.62,115.37,329.49,445.35
Active Prefill Throughput (tokens/sec),3212.12,762.69,13086.21,,,,,,1834.26,,6402.91,9199.77,13086.21,2961.47
Active Prefill Throughput Per User (tokens/sec/user),3212.12,762.69,13086.21,,,,,,1834.26,,6402.91,9199.77,13086.21,2961.47
Active Total Throughput (tokens/sec),680.69,70.34,13086.21,,,,,,92.82,,1791.39,5743.64,9199.77,1775.66
Credit-to-Start Latency (ms),3.12,1.69,4.38,68.70,1.71,1.80,1.99,2.26,3.20,4.08,4.17,4.21,4.34,1.00
Decode Duration (ms),10951.12,6844.79,13663.78,240924.65,7264.26,8857.13,9197.63,10338.79,11109.03,11735.72,12678.63,13166.79,13564.39,1470.98
E2E Output Token Throughput (tokens/sec/user),75.95,47.47,95.15,1670.95,49.06,55.05,55.90,66.50,79.10,87.08,92.30,93.07,94.72,13.65
Effective Concurrency,0.99,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.10
Effective Decode Concurrency,0.80,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.40
Effective Decode Throughput (tokens/sec),72.57,0.00,81216.77,,,,,,72.64,,99.13,110.72,276.92,400.73
Effective Decode Throughput Per User (tokens/sec/user),72.57,0.00,81216.77,,,,,,72.64,,99.13,110.72,276.92,400.73
Effective Latency (CO-aware) (ms),13509.31,8144.20,21571.83,297204.80,8580.87,10250.70,10789.35,11176.61,12773.07,15249.62,18234.66,18603.71,20949.59,3091.66
Effective Prefill Concurrency,0.19,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.39
Effective Prefill Throughput (tokens/sec),601.62,0.00,13086.21,,,,,,0.00,,1791.39,5743.64,9199.77,1792.53
Effective Prefill Throughput Per User (tokens/sec/user),601.62,0.00,13086.21,,,,,,0.00,,1791.39,5743.64,9199.77,1792.53
Effective Total Throughput (tokens/sec),674.18,0.00,13086.21,,,,,,92.82,,1791.39,5743.64,9199.77,1768.39
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,419.45,286.00,486.00,9228.00,292.93,322.15,383.30,414.25,427.00,434.00,464.80,480.25,484.95,44.15
HTTP Chunks Sent,1.00,1.00,1.00,22.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,22.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),277.87,169.24,288.30,6113.23,173.87,195.95,284.54,287.64,287.97,288.07,288.17,288.21,288.28,31.06
HTTP Data Sent (KB),34.75,32.60,37.02,764.50,32.60,32.64,33.39,33.60,35.10,35.44,35.69,36.96,37.02,1.20
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),13506.12,8140.01,21569.77,297134.69,8576.69,10246.55,10785.26,11174.17,12768.80,15247.44,18232.43,18601.41,20947.48,3092.10
HTTP Receiving (ms),10953.41,6844.79,13663.95,240974.92,7270.25,8884.24,9197.63,10339.02,11109.03,11735.90,12680.14,13167.34,13564.65,1469.87
HTTP Sending (ms),0.13,0.10,0.19,2.95,0.10,0.10,0.10,0.10,0.14,0.16,0.16,0.18,0.19,0.03
HTTP Total Time (ms),13506.12,8140.01,21569.77,297134.69,8576.69,10246.55,10785.26,11174.17,12768.80,15247.44,18232.43,18601.41,20947.48,3092.10
HTTP Waiting (TTFB) (ms),2552.58,626.70,10756.41,56156.83,631.16,650.49,706.78,1033.23,1332.88,3421.09,5331.69,6685.85,9915.63,2462.60
Input Sequence Length (tokens),8204.00,8204.00,8204.00,180488.00,8204.00,8204.00,8204.00,8204.00,8204.00,8204.00,8204.00,8204.00,8204.00,0.00
Inter Chunk Latency (ms),11.07,0.00,1474.26,240924.65,0.00,0.00,0.00,0.00,0.00,26.04,31.12,35.14,62.09,25.57
Inter Token Latency (ms),11.11,8.93,14.22,244.34,9.05,9.52,9.89,10.18,10.95,11.49,12.85,13.33,14.04,1.25
OSL Mismatch Diff % (%),-3.27,-39.16,0.10,-71.88,-37.83,-31.17,0.00,0.00,0.00,0.00,0.00,0.00,0.08,10.39
Output Sequence Length (tokens),990.55,623.00,1025.00,21792.00,636.65,704.80,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.79,106.40
Output Token Count (tokens),190.88,1.00,623.00,1527.00,1.00,1.00,1.00,1.00,129.50,318.00,415.80,519.40,602.28,209.88
Output Token Throughput Per User (tokens/sec/user),91.13,70.34,112.03,2004.91,71.29,75.00,77.85,87.00,91.30,98.28,101.07,105.08,110.62,9.82
Prefill Throughput Per User (tokens/sec/user),5942.49,762.69,13086.21,130734.85,857.65,1229.89,1542.58,2409.92,6091.85,8071.97,11617.05,12611.02,12996.09,3706.11
Reasoning Token Count (tokens),921.14,0.00,1025.00,20265.00,98.49,480.40,698.20,1023.00,1024.00,1024.00,1024.00,1024.00,1024.79,246.02
Request Latency (ms),13505.20,8140.08,21569.85,297114.35,8576.76,10246.63,10785.33,11173.99,12768.76,15247.46,18232.27,18600.90,20947.43,3091.90
Time to First Output Token (ms),7975.28,1377.28,14969.94,39876.42,1561.82,2300.00,3222.71,5990.87,7796.43,9741.91,12878.73,13924.33,14760.81,4462.06
Time to First Token (ms),2554.08,626.92,10756.67,56189.70,631.38,650.72,706.93,1033.44,1347.38,3421.24,5331.84,6686.00,9915.87,2461.97
Time to Second Token (ms),5.68,0.00,31.45,124.92,0.00,0.00,0.00,0.00,0.00,0.04,24.99,27.92,30.73,10.69
Tokens In Flight (tokens),8527.22,0.00,9229.00,,,,,,8583.22,,9092.00,9163.94,9215.00,899.25
Usage Completion Tokens (tokens),990.50,623.00,1024.00,21791.00,636.65,704.80,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,106.39
Usage Prompt Cache Read Tokens (tokens),3723.64,0.00,8192.00,81920.00,0.00,0.00,0.00,0.00,0.00,8192.00,8192.00,8192.00,8192.00,4079.04
Usage Prompt Tokens (tokens),8204.00,8204.00,8204.00,180488.00,8204.00,8204.00,8204.00,8204.00,8204.00,8204.00,8204.00,8204.00,8204.00,0.00
Usage Reasoning Tokens (tokens),921.14,0.00,1025.00,20265.00,98.49,480.40,698.20,1023.00,1024.00,1024.00,1024.00,1024.00,1024.79,246.02
Usage Total Tokens (tokens),9194.50,8827.00,9228.00,202279.00,8840.65,8908.80,9228.00,9228.00,9228.00,9228.00,9228.00,9228.00,9228.00,106.39

Metric,Value
Benchmark Duration (sec),297.32
Input Token Throughput (tokens/sec),601.62
OSL Mismatch Count,2.00
Output Token Throughput (tokens/sec),72.64
Overall Usage Prompt Cache Read % (%),45.39
Request Count,22.00
Request Throughput (requests/sec),0.07
Total Input Sequence Length (tokens),180488.00
Total Output Sequence Length (tokens),21792.00
Total Output Tokens (tokens),1527.00
Total Reasoning Tokens (tokens),20265.00
Total Token Throughput (tokens/sec),674.26
Total Usage Completion Tokens (tokens),21791.00
Total Usage Prompt Cache Read Tokens (tokens),81920.00
Total Usage Prompt Tokens (tokens),180488.00
Total Usage Reasoning Tokens (tokens),20265.00
Total Usage Total Tokens (tokens),202279.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
