Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),84.98,0.00,57419.25,,,,,,70.86,,87.43,94.83,223.58,414.83
Active Decode Throughput Per User (tokens/sec/user),84.98,0.00,57419.25,,,,,,70.86,,87.43,94.83,223.58,414.83
Active Prefill Throughput (tokens/sec),5649.27,5649.27,5649.27,,,,,,5649.27,,5649.27,5649.27,5649.27,0.00
Active Prefill Throughput Per User (tokens/sec/user),5649.27,5649.27,5649.27,,,,,,5649.27,,5649.27,5649.27,5649.27,0.00
Active Total Throughput (tokens/sec),994.30,84.98,5649.27,,,,,,84.98,,5649.27,5649.27,5649.27,2057.39
Credit-to-Start Latency (ms),1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,0.00
Decode Duration (ms),7436.93,7436.93,7436.93,7436.93,7436.93,7436.93,7436.93,7436.93,7436.93,7436.93,7436.93,7436.93,7436.93,0.00
E2E Output Token Throughput (tokens/sec/user),71.21,71.21,71.21,71.21,71.21,71.21,71.21,71.21,71.21,71.21,71.21,71.21,71.21,0.00
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.03
Effective Decode Concurrency,0.84,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.37
Effective Decode Throughput (tokens/sec),71.04,0.00,57419.25,,,,,,68.96,,85.67,93.38,217.65,380.58
Effective Decode Throughput Per User (tokens/sec/user),71.04,0.00,57419.25,,,,,,68.96,,85.67,93.38,217.65,380.58
Effective Latency (CO-aware) (ms),8890.88,8890.88,8890.88,8890.88,8890.88,8890.88,8890.88,8890.88,8890.88,8890.88,8890.88,8890.88,8890.88,0.00
Effective Prefill Concurrency,0.16,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.37
Effective Prefill Throughput (tokens/sec),922.53,0.00,5649.27,,,,,,0.00,,5649.27,5649.27,5649.27,2088.20
Effective Prefill Throughput Per User (tokens/sec/user),922.53,0.00,5649.27,,,,,,0.00,,5649.27,5649.27,5649.27,2088.20
Effective Total Throughput (tokens/sec),993.58,0.00,5649.27,,,,,,84.98,,5649.27,5649.27,5649.27,2056.81
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,290.00,290.00,290.00,290.00,290.00,290.00,290.00,290.00,290.00,290.00,290.00,290.00,290.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),76.59,76.59,76.59,76.59,76.59,76.59,76.59,76.59,76.59,76.59,76.59,76.59,76.59,0.00
HTTP Connection Overhead (ms),78.52,78.52,78.52,78.52,78.52,78.52,78.52,78.52,78.52,78.52,78.52,78.52,78.52,0.00
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),171.68,171.68,171.68,171.68,171.68,171.68,171.68,171.68,171.68,171.68,171.68,171.68,171.68,0.00
HTTP Data Sent (KB),35.07,35.07,35.07,35.07,35.07,35.07,35.07,35.07,35.07,35.07,35.07,35.07,35.07,0.00
HTTP DNS Lookup (ms),1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,0.00
HTTP Duration (excl. conn) (ms),8889.55,8889.55,8889.55,8889.55,8889.55,8889.55,8889.55,8889.55,8889.55,8889.55,8889.55,8889.55,8889.55,0.00
