Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),161.22,0.00,1069.24,,,,,,169.38,,218.34,229.41,324.07,74.76
Active Decode Throughput Per User (tokens/sec/user),161.22,0.00,1069.24,,,,,,169.38,,218.34,229.41,324.07,74.76
Active Prefill Throughput (tokens/sec),7049.40,7049.40,7049.40,,,,,,7049.40,,7049.40,7049.40,7049.40,0.00
Active Prefill Throughput Per User (tokens/sec/user),7049.40,7049.40,7049.40,,,,,,7049.40,,7049.40,7049.40,7049.40,0.00
Active Total Throughput (tokens/sec),2292.25,161.22,7049.40,,,,,,161.22,,7049.40,7049.40,7049.40,3183.96
Credit-to-Start Latency (ms),1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,0.00
Decode Duration (ms),2597.53,2597.53,2597.53,2597.53,2597.53,2597.53,2597.53,2597.53,2597.53,2597.53,2597.53,2597.53,2597.53,0.00
E2E Output Token Throughput (tokens/sec/user),111.65,111.65,111.65,111.65,111.65,111.65,111.65,111.65,111.65,111.65,111.65,111.65,111.65,0.00
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.03
Effective Decode Concurrency,0.69,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.46
Effective Decode Throughput (tokens/sec),111.22,0.00,1069.24,,,,,,160.63,,206.29,227.03,288.16,97.04
Effective Decode Throughput Per User (tokens/sec/user),111.22,0.00,1069.24,,,,,,160.63,,206.29,227.03,288.16,97.04
Effective Latency (CO-aware) (ms),3764.46,3764.46,3764.46,3764.46,3764.46,3764.46,3764.46,3764.46,3764.46,3764.46,3764.46,3764.46,3764.46,0.00
Effective Prefill Concurrency,0.31,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.46
Effective Prefill Throughput (tokens/sec),2178.51,0.00,7049.40,,,,,,0.00,,7049.40,7049.40,7049.40,3257.49
Effective Prefill Throughput Per User (tokens/sec/user),2178.51,0.00,7049.40,,,,,,0.00,,7049.40,7049.40,7049.40,3257.49
Effective Total Throughput (tokens/sec),2289.73,0.00,7049.40,,,,,,161.22,,7049.40,7049.40,7049.40,3183.12
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,152.00,152.00,152.00,152.00,152.00,152.00,152.00,152.00,152.00,152.00,152.00,152.00,152.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),17.66,17.66,17.66,17.66,17.66,17.66,17.66,17.66,17.66,17.66,17.66,17.66,17.66,0.00
HTTP Connection Overhead (ms),20.17,20.17,20.17,20.17,20.17,20.17,20.17,20.17,20.17,20.17,20.17,20.17,20.17,0.00
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),39.49,39.49,39.49,39.49,39.49,39.49,39.49,39.49,39.49,39.49,39.49,39.49,39.49,0.00
HTTP Data Sent (KB),35.05,35.05,35.05,35.05,35.05,35.05,35.05,35.05,35.05,35.05,35.05,35.05,35.05,0.00
HTTP DNS Lookup (ms),2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,0.00
HTTP Duration (excl. conn) (ms),3762.89,3762.89,3762.89,3762.89,3762.89,3762.89,3762.89,3762.89,3762.89,3762.89,3762.89,3762.89,3762.89,0.00
HTTP Receiving (ms),2598.92,2598.92,2598.92,2598.92,2598.92,2598.92,2598.92,2598.92,2598.92,2598.92,2598.92,2598.92,2598.92,0.00
HTTP Sending (ms),18.21,18.21,18.21,18.21,18.21,18.21,18.21,18.21,18.21,18.21,18.21,18.21,18.21,0.00
HTTP Total Time (ms),3783.05,3783.05,3783.05,3783.05,3783.05,3783.05,3783.05,3783.05,3783.05,3783.05,3783.05,3783.05,3783.05,0.00
HTTP Waiting (TTFB) (ms),1145.75,1145.75,1145.75,1145.75,1145.75,1145.75,1145.75,1145.75,1145.75,1145.75,1145.75,1145.75,1145.75,0.00
Input Sequence Length (tokens),8207.00,8207.00,8207.00,8207.00,8207.00,8207.00,8207.00,8207.00,8207.00,8207.00,8207.00,8207.00,8207.00,0.00
Inter Chunk Latency (ms),17.43,2.63,210.50,2597.53,4.52,10.64,12.28,13.71,16.37,17.03,17.99,19.79,72.83,18.04
Inter Token Latency (ms),6.20,6.20,6.20,6.20,6.20,6.20,6.20,6.20,6.20,6.20,6.20,6.20,6.20,0.00
