Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),109.67,0.00,165134.62,,,,,,124.91,,168.48,181.48,244.01,164.99
Active Decode Throughput Per User (tokens/sec/user),109.67,0.00,165134.62,,,,,,124.91,,168.48,181.48,244.01,164.99
Active Prefill Throughput (tokens/sec),4597.90,3499.64,5264.61,,,,,,4717.36,,5108.85,5256.60,5264.61,446.62
Active Prefill Throughput Per User (tokens/sec/user),4597.90,3499.64,5264.61,,,,,,4717.36,,5108.85,5256.60,5264.61,446.62
Active Total Throughput (tokens/sec),977.78,64.71,5264.61,,,,,,115.24,,4697.92,4909.31,5256.60,1783.81
Decode Duration (error-adjusted) (ms),,839.37,,,839.37,2539.12,2765.74,6219.21,9078.66,,,,,
Inter Token Latency (error-adjusted) (ms),,5.49,,,5.49,6.05,6.24,7.02,9.49,,,,,
Request Latency (error-adjusted) (ms),,2472.03,,,2472.03,4306.74,4443.10,7922.06,10992.58,,,,,
Time to First Token (error-adjusted) (ms),,1557.00,,,1557.00,1594.05,1632.66,1685.63,1854.17,,,,,
Credit-to-Start Latency (ms),1.01,0.54,2.81,44.31,0.59,0.67,0.70,0.82,0.91,1.11,1.21,1.75,2.40,0.38
Decode Duration (ms),7421.59,839.37,15125.44,230069.28,1246.26,2367.38,2740.89,3973.53,7488.94,9392.12,13878.63,14290.54,14996.82,3801.47
E2E Output Token Throughput (tokens/sec/user),91.51,58.37,129.26,2836.85,58.97,61.33,62.30,81.88,94.50,102.51,110.92,116.95,127.12,17.54
Effective Concurrency,0.95,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.21
Effective Decode Concurrency,0.77,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.42
Effective Decode Throughput (tokens/sec),84.25,0.00,165134.62,,,,,,108.58,,163.81,176.92,222.23,151.83
Effective Decode Throughput Per User (tokens/sec/user),84.25,0.00,165134.62,,,,,,108.58,,163.81,176.92,222.23,151.83
Effective Latency (CO-aware) (ms),6494.87,0.65,16964.42,285774.43,0.66,0.69,0.77,1.13,6070.48,10664.24,12451.86,15595.93,16744.26,5264.52
Effective Prefill Concurrency,0.18,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.39
Effective Prefill Throughput (tokens/sec),847.02,0.00,5264.61,,,,,,0.00,,4637.31,4870.88,5256.60,1792.71
Effective Prefill Throughput Per User (tokens/sec/user),847.02,0.00,5264.61,,,,,,0.00,,4637.31,4870.88,5256.60,1792.71
Effective Total Throughput (tokens/sec),931.27,0.00,5264.61,,,,,,113.08,,4637.31,4870.88,5256.60,1753.26
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,279.94,47.00,398.00,8678.00,66.20,124.00,141.00,188.00,316.00,363.00,388.00,390.00,395.90,99.81
HTTP Chunks Sent,1.00,1.00,1.00,31.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,31.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),103.19,14.20,155.97,3198.88,22.42,45.91,52.35,71.23,118.03,130.85,144.07,149.03,154.14,37.50
HTTP Data Sent (KB),35.16,33.89,37.08,1090.07,33.98,34.28,34.46,34.67,34.86,35.62,36.47,36.61,36.96,0.79
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),9217.04,2480.09,16963.46,285728.29,2968.70,4221.09,4413.14,5883.29,9527.39,11203.72,15465.92,16034.50,16809.88,3773.26
HTTP Receiving (ms),7434.84,847.59,15127.07,230479.96,1263.10,2399.23,2770.25,3986.72,7497.25,9404.86,13892.00,14307.97,15001.03,3799.21
HTTP Sending (ms),0.12,0.10,0.39,3.87,0.10,0.10,0.10,0.10,0.11,0.12,0.15,0.16,0.33,0.05
HTTP Total Time (ms),9217.04,2480.09,16963.46,285728.29,2968.70,4221.09,4413.14,5883.29,9527.39,11203.72,15465.92,16034.50,16809.88,3773.26
HTTP Waiting (TTFB) (ms),1782.08,1556.78,2342.09,55244.46,1557.17,1575.70,1604.31,1659.54,1725.38,1861.44,2030.02,2151.57,2293.23,182.20
Input Sequence Length (tokens),8196.97,8196.00,8197.00,254106.00,8196.30,8197.00,8197.00,8197.00,8197.00,8197.00,8197.00,8197.00,8197.00,0.18
Inter Chunk Latency (ms),26.58,0.00,1176.83,230069.28,0.00,3.07,15.26,18.45,20.78,23.26,26.53,31.83,388.80,50.44
Inter Token Latency (ms),8.69,5.49,15.42,269.34,5.65,6.05,6.08,6.57,8.63,9.53,13.57,14.58,15.23,2.64
OSL Mismatch Diff % (%),-20.28,-84.96,0.00,-628.61,-79.13,-62.26,-58.98,-45.56,-0.20,0.00,0.00,0.00,0.00,26.90
Output Sequence Length (tokens),816.35,154.00,1024.00,25307.00,213.70,386.50,420.00,557.50,1022.00,1024.00,1024.00,1024.00,1024.00,275.44
Output Token Count (tokens),352.48,61.00,816.00,8107.00,65.84,83.90,92.80,126.00,195.00,744.50,771.40,774.70,806.98,284.58
Output Token Throughput Per User (tokens/sec/user),124.21,64.85,182.28,3850.46,65.68,68.62,73.68,104.95,115.83,152.18,164.49,165.41,177.22,31.40
Prefill Throughput Per User (tokens/sec/user),4641.28,3499.64,5264.61,143879.71,3577.61,3809.20,4035.06,4401.53,4748.01,4937.57,5108.85,5199.43,5262.20,427.40
Reasoning Token Count (tokens),554.84,1.00,1024.00,17200.00,54.40,179.50,197.00,231.00,419.00,993.50,1024.00,1024.00,1024.00,362.72
Request Latency (ms),9204.35,2472.03,16961.88,285334.94,2951.97,4189.29,4402.89,5871.47,9520.39,11191.89,15435.63,16026.16,16805.78,3775.54
Time to First Output Token (ms),5571.94,1661.27,14511.33,128154.55,1924.58,2889.61,3177.97,3426.85,4223.24,5402.55,11354.10,11872.97,13936.28,3303.40
