Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),86.62,0.00,21737.01,,,,,,13.49,,124.61,399.27,1005.51,236.08
Active Decode Throughput Per User (tokens/sec/user),86.62,0.00,21737.01,,,,,,13.49,,124.61,399.27,1005.51,236.08
Active Prefill Throughput (tokens/sec),7629.89,7629.89,7629.89,,,,,,7629.89,,7629.89,7629.89,7629.89,0.00
Active Prefill Throughput Per User (tokens/sec/user),7629.89,7629.89,7629.89,,,,,,7629.89,,7629.89,7629.89,7629.89,0.00
Active Total Throughput (tokens/sec),1309.78,86.62,7629.89,,,,,,86.62,,7629.89,7629.89,7629.89,2780.38
Credit-to-Start Latency (ms),1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,0.00
Decode Duration (ms),5529.00,5529.00,5529.00,5529.00,5529.00,5529.00,5529.00,5529.00,5529.00,5529.00,5529.00,5529.00,5529.00,0.00
E2E Output Token Throughput (tokens/sec/user),72.99,72.99,72.99,72.99,72.99,72.99,72.99,72.99,72.99,72.99,72.99,72.99,72.99,0.00
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.04
Effective Decode Concurrency,0.84,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.37
Effective Decode Throughput (tokens/sec),72.47,0.00,21737.01,,,,,,8.30,,122.14,258.38,965.27,218.31
Effective Decode Throughput Per User (tokens/sec/user),72.47,0.00,21737.01,,,,,,8.30,,122.14,258.38,965.27,218.31
Effective Latency (CO-aware) (ms),6629.11,6629.11,6629.11,6629.11,6629.11,6629.11,6629.11,6629.11,6629.11,6629.11,6629.11,6629.11,6629.11,0.00
Effective Prefill Concurrency,0.16,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.37
Effective Prefill Throughput (tokens/sec),1235.50,0.00,7629.89,,,,,,0.00,,7629.89,7629.89,7629.89,2810.74
Effective Prefill Throughput Per User (tokens/sec/user),1235.50,0.00,7629.89,,,,,,0.00,,7629.89,7629.89,7629.89,2810.74
Effective Total Throughput (tokens/sec),1307.97,0.00,7629.89,,,,,,86.62,,7629.89,7629.89,7629.89,2778.88
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,194.00,194.00,194.00,194.00,194.00,194.00,194.00,194.00,194.00,194.00,194.00,194.00,194.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),51.05,51.05,51.05,51.05,51.05,51.05,51.05,51.05,51.05,51.05,51.05,51.05,51.05,0.00
HTTP Connection Overhead (ms),53.63,53.63,53.63,53.63,53.63,53.63,53.63,53.63,53.63,53.63,53.63,53.63,53.63,0.00
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),96.48,96.48,96.48,96.48,96.48,96.48,96.48,96.48,96.48,96.48,96.48,96.48,96.48,0.00
HTTP Data Sent (KB),35.17,35.17,35.17,35.17,35.17,35.17,35.17,35.17,35.17,35.17,35.17,35.17,35.17,0.00
HTTP DNS Lookup (ms),2.57,2.57,2.57,2.57,2.57,2.57,2.57,2.57,2.57,2.57,2.57,2.57,2.57,0.00
HTTP Duration (excl. conn) (ms),6627.68,6627.68,6627.68,6627.68,6627.68,6627.68,6627.68,6627.68,6627.68,6627.68,6627.68,6627.68,6627.68,0.00
HTTP Receiving (ms),5553.14,5553.14,5553.14,5553.14,5553.14,5553.14,5553.14,5553.14,5553.14,5553.14,5553.14,5553.14,5553.14,0.00
HTTP Sending (ms),51.44,51.44,51.44,51.44,51.44,51.44,51.44,51.44,51.44,51.44,51.44,51.44,51.44,0.00
HTTP Total Time (ms),6681.31,6681.31,6681.31,6681.31,6681.31,6681.31,6681.31,6681.31,6681.31,6681.31,6681.31,6681.31,6681.31,0.00
HTTP Waiting (TTFB) (ms),1023.10,1023.10,1023.10,1023.10,1023.10,1023.10,1023.10,1023.10,1023.10,1023.10,1023.10,1023.10,1023.10,0.00
Input Sequence Length (tokens),8200.00,8200.00,8200.00,8200.00,8200.00,8200.00,8200.00,8200.00,8200.00,8200.00,8200.00,8200.00,8200.00,0.00
Inter Chunk Latency (ms),27.24,0.00,954.98,5529.00,0.00,0.00,1.13,2.61,6.28,22.21,23.91,66.50,383.74,85.76
Inter Token Latency (ms),11.49,11.49,11.49,11.49,11.49,11.49,11.49,11.49,11.49,11.49,11.49,11.49,11.49,0.00
