Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),77.29,0.00,40278.82,,,,,,87.67,,114.15,122.68,141.11,57.59
Active Decode Throughput Per User (tokens/sec/user),77.29,0.00,40278.82,,,,,,87.67,,114.15,122.68,141.11,57.59
Active Prefill Throughput (tokens/sec),3465.59,2208.56,12539.91,,,,,,2699.85,,3893.06,10487.39,12539.91,2241.47
Active Prefill Throughput Per User (tokens/sec/user),3465.59,2208.56,12539.91,,,,,,2699.85,,3893.06,10487.39,12539.91,2241.47
Active Total Throughput (tokens/sec),694.30,47.79,12539.91,,,,,,79.57,,2699.85,3154.26,10487.39,1620.18
Decode Duration (error-adjusted) (ms),,3344.09,,,3344.09,8136.08,8454.32,12843.22,,,,,,
Inter Token Latency (error-adjusted) (ms),,8.83,,,8.83,11.25,11.58,13.79,,,,,,
Request Latency (error-adjusted) (ms),,5942.48,,,5942.48,9815.40,10714.98,14806.51,,,,,,
Time to First Token (error-adjusted) (ms),,653.59,,,653.59,781.51,2105.29,3193.86,,,,,,
Credit-to-Start Latency (ms),0.94,0.60,2.00,43.24,0.64,0.71,0.78,0.82,0.89,0.98,1.20,1.22,1.81,0.23
Decode Duration (ms),10617.48,3344.09,17025.45,169879.68,3568.55,4466.37,6488.27,8406.56,11084.85,12931.03,14986.95,16155.55,16851.47,3585.23
E2E Output Token Throughput (tokens/sec/user),63.43,32.92,104.33,1014.82,34.90,42.81,47.12,53.72,61.76,70.45,79.18,87.59,100.98,16.10
Effective Concurrency,0.69,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.46
Effective Decode Concurrency,0.57,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.50
Effective Decode Throughput (tokens/sec),43.79,0.00,40278.82,,,,,,10.35,,100.47,116.96,130.91,57.85
Effective Decode Throughput Per User (tokens/sec/user),43.79,0.00,40278.82,,,,,,10.35,,100.47,116.96,130.91,57.85
Effective Latency (CO-aware) (ms),4518.24,0.60,20505.97,207839.00,0.64,0.74,0.79,0.84,1.04,10631.64,14800.16,15949.04,19663.11,6559.61
Effective Prefill Concurrency,0.13,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.33
Effective Prefill Throughput (tokens/sec),437.12,0.00,12539.91,,,,,,0.00,,2479.75,2974.62,8410.63,1399.11
Effective Prefill Throughput Per User (tokens/sec/user),437.12,0.00,12539.91,,,,,,0.00,,2479.75,2974.62,8410.63,1399.11
Effective Total Throughput (tokens/sec),480.91,0.00,12539.91,,,,,,72.49,,2479.75,2974.62,8410.63,1385.93
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,282.38,100.00,387.00,4518.00,104.95,124.75,135.00,205.75,319.50,381.25,384.00,386.25,386.85,99.78
HTTP Chunks Sent,1.00,1.00,1.00,16.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,16.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),75.86,26.20,107.65,1213.73,27.57,33.04,36.03,55.81,83.70,99.38,104.10,105.50,107.22,26.69
HTTP Data Sent (KB),34.24,32.72,35.52,547.77,32.72,32.72,33.03,33.34,34.44,35.14,35.34,35.40,35.50,0.97
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),12987.18,5944.47,20504.94,207794.85,6129.79,6871.08,8500.59,10630.66,12952.88,14939.22,17396.65,19100.17,20223.99,3702.23
HTTP Receiving (ms),10622.27,3346.16,17031.67,169956.27,3571.10,4470.88,6492.37,8408.91,11088.04,12941.87,14991.26,16160.99,16857.53,3586.27
HTTP Sending (ms),0.12,0.10,0.18,1.89,0.10,0.10,0.10,0.10,0.11,0.12,0.16,0.17,0.17,0.02
HTTP Total Time (ms),12987.18,5944.47,20504.94,207794.85,6129.79,6871.08,8500.59,10630.66,12952.88,14939.22,17396.65,19100.17,20223.99,3702.23
HTTP Waiting (TTFB) (ms),2364.79,653.45,3710.87,37836.68,655.97,666.07,725.77,1822.41,2676.65,3201.57,3389.09,3532.59,3675.21,1015.07
Input Sequence Length (tokens),8196.00,8196.00,8196.00,131136.00,8196.00,8196.00,8196.00,8196.00,8196.00,8196.00,8196.00,8196.00,8196.00,0.00
Inter Chunk Latency (ms),37.94,0.00,405.85,169879.68,0.00,23.64,27.13,29.27,31.61,33.86,35.98,40.71,305.18,42.34
Inter Token Latency (ms),13.24,8.83,20.92,211.89,9.07,10.02,10.84,11.52,12.73,14.14,16.08,17.71,20.27,2.75
OSL Mismatch Diff % (%),-19.73,-73.24,0.00,-315.62,-71.54,-64.75,-60.50,-41.28,0.00,0.00,0.00,0.00,0.00,26.69
Output Sequence Length (tokens),822.00,274.00,1024.00,13152.00,291.40,361.00,404.50,601.25,1024.00,1024.00,1024.00,1024.00,1024.00,273.29
Output Token Count (tokens),460.36,82.00,805.00,5064.00,84.10,92.50,103.00,205.50,424.00,723.00,785.00,795.00,803.00,273.48
Output Token Throughput Per User (tokens/sec/user),78.45,47.81,113.24,1255.22,49.65,57.02,62.28,70.84,78.59,86.79,92.43,100.30,110.65,14.82
Prefill Throughput Per User (tokens/sec/user),4915.32,2208.56,12539.91,78645.12,2231.23,2321.91,2419.73,2559.92,3064.44,5022.45,11356.22,12303.77,12492.68,3588.38
Reasoning Token Count (tokens),505.50,186.00,1024.00,8088.00,186.90,190.50,205.50,265.25,301.00,1024.00,1024.00,1024.00,1024.00,352.57
Request Latency (ms),12982.45,5942.48,20498.77,207719.15,6127.31,6866.63,8495.04,10628.38,12949.74,14930.73,17387.59,19094.78,20217.97,3700.98
Time to First Output Token (ms),5860.24,4284.25,11029.12,64462.66,4294.30,4334.48,4384.70,4769.47,5245.53,6066.15,7008.73,9018.92,10627.08,1816.92
Time to First Token (ms),2364.97,653.59,3711.02,37839.47,656.12,666.22,725.97,1822.59,2676.85,3201.72,3389.25,3532.75,3675.36,1015.06
