Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),45.65,0.00,1259.52,,,,,,9.64,,102.61,105.57,112.96,50.52
Active Decode Throughput Per User (tokens/sec/user),45.65,0.00,1259.52,,,,,,9.64,,102.61,105.57,112.96,50.52
Active Prefill Throughput (tokens/sec),5577.85,5577.85,5577.85,,,,,,5577.85,,5577.85,5577.85,5577.85,0.00
Active Prefill Throughput Per User (tokens/sec/user),5577.85,5577.85,5577.85,,,,,,5577.85,,5577.85,5577.85,5577.85,0.00
Active Total Throughput (tokens/sec),386.19,45.65,5577.85,,,,,,45.65,,45.65,5577.85,5577.85,1329.65
Credit-to-Start Latency (ms),1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,0.00
Decode Duration (ms),22403.22,22403.22,22403.22,22403.22,22403.22,22403.22,22403.22,22403.22,22403.22,22403.22,22403.22,22403.22,22403.22,0.00
E2E Output Token Throughput (tokens/sec/user),42.89,42.89,42.89,42.89,42.89,42.89,42.89,42.89,42.89,42.89,42.89,42.89,42.89,0.00
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.01
Effective Decode Concurrency,0.94,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.24
Effective Decode Throughput (tokens/sec),42.83,0.00,1259.52,,,,,,9.53,,102.09,105.29,112.96,50.16
Effective Decode Throughput Per User (tokens/sec/user),42.83,0.00,1259.52,,,,,,9.53,,102.09,105.29,112.96,50.16
Effective Latency (CO-aware) (ms),23880.63,23880.63,23880.63,23880.63,23880.63,23880.63,23880.63,23880.63,23880.63,23880.63,23880.63,23880.63,23880.63,0.00
Effective Prefill Concurrency,0.06,0.00,1.00,,,,,,0.00,,0.00,1.00,1.00,0.24
Effective Prefill Throughput (tokens/sec),343.30,0.00,5577.85,,,,,,0.00,,0.00,5577.85,5577.85,1340.53
Effective Prefill Throughput Per User (tokens/sec/user),343.30,0.00,5577.85,,,,,,0.00,,0.00,5577.85,5577.85,1340.53
Effective Total Throughput (tokens/sec),386.13,0.00,5577.85,,,,,,45.65,,45.65,5577.85,5577.85,1329.56
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,352.00,352.00,352.00,352.00,352.00,352.00,352.00,352.00,352.00,352.00,352.00,352.00,352.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),14.38,14.38,14.38,14.38,14.38,14.38,14.38,14.38,14.38,14.38,14.38,14.38,14.38,0.00
HTTP Connection Overhead (ms),16.02,16.02,16.02,16.02,16.02,16.02,16.02,16.02,16.02,16.02,16.02,16.02,16.02,0.00
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),92.81,92.81,92.81,92.81,92.81,92.81,92.81,92.81,92.81,92.81,92.81,92.81,92.81,0.00
HTTP Data Sent (KB),35.17,35.17,35.17,35.17,35.17,35.17,35.17,35.17,35.17,35.17,35.17,35.17,35.17,0.00
HTTP DNS Lookup (ms),1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,0.00
HTTP Duration (excl. conn) (ms),23879.33,23879.33,23879.33,23879.33,23879.33,23879.33,23879.33,23879.33,23879.33,23879.33,23879.33,23879.33,23879.33,0.00
HTTP Receiving (ms),22409.58,22409.58,22409.58,22409.58,22409.58,22409.58,22409.58,22409.58,22409.58,22409.58,22409.58,22409.58,22409.58,0.00
HTTP Sending (ms),14.72,14.72,14.72,14.72,14.72,14.72,14.72,14.72,14.72,14.72,14.72,14.72,14.72,0.00
HTTP Total Time (ms),23895.35,23895.35,23895.35,23895.35,23895.35,23895.35,23895.35,23895.35,23895.35,23895.35,23895.35,23895.35,23895.35,0.00
HTTP Waiting (TTFB) (ms),1455.03,1455.03,1455.03,1455.03,1455.03,1455.03,1455.03,1455.03,1455.03,1455.03,1455.03,1455.03,1455.03,0.00
Input Sequence Length (tokens),8199.00,8199.00,8199.00,8199.00,8199.00,8199.00,8199.00,8199.00,8199.00,8199.00,8199.00,8199.00,8199.00,0.00
Inter Chunk Latency (ms),63.65,0.00,364.60,22403.22,1.53,22.85,27.30,28.51,30.40,32.80,222.54,326.31,354.93,93.00
Inter Token Latency (ms),21.90,21.90,21.90,21.90,21.90,21.90,21.90,21.90,21.90,21.90,21.90,21.90,21.90,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Output Token Throughput Per User (tokens/sec/user),45.66,45.66,45.66,45.66,45.66,45.66,45.66,45.66,45.66,45.66,45.66,45.66,45.66,0.00
Prefill Throughput Per User (tokens/sec/user),5577.85,5577.85,5577.85,5577.85,5577.85,5577.85,5577.85,5577.85,5577.85,5577.85,5577.85,5577.85,5577.85,0.00
Reasoning Token Count (tokens),1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Request Latency (ms),23873.15,23873.15,23873.15,23873.15,23873.15,23873.15,23873.15,23873.15,23873.15,23873.15,23873.15,23873.15,23873.15,0.00
Time to First Token (ms),1469.92,1469.92,1469.92,1469.92,1469.92,1469.92,1469.92,1469.92,1469.92,1469.92,1469.92,1469.92,1469.92,0.00
Time to Second Token (ms),20.98,20.98,20.98,20.98,20.98,20.98,20.98,20.98,20.98,20.98,20.98,20.98,20.98,0.00
Tokens In Flight (tokens),8634.44,0.00,9223.00,,,,,,8580.72,,9034.09,9127.09,9214.28,282.80
Usage Completion Tokens (tokens),1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Usage Prompt Cache Read Tokens (tokens),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Usage Prompt Tokens (tokens),8199.00,8199.00,8199.00,8199.00,8199.00,8199.00,8199.00,8199.00,8199.00,8199.00,8199.00,8199.00,8199.00,0.00
Usage Reasoning Tokens (tokens),1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Usage Total Tokens (tokens),9223.00,9223.00,9223.00,9223.00,9223.00,9223.00,9223.00,9223.00,9223.00,9223.00,9223.00,9223.00,9223.00,0.00

Metric,Value
Benchmark Duration (sec),23.87
Input Token Throughput (tokens/sec),343.30
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),42.88
Overall Usage Prompt Cache Read % (%),0.00
Request Count,1.00
Request Throughput (requests/sec),0.04
Total Input Sequence Length (tokens),8199.00
Total Output Sequence Length (tokens),1024.00
Total Reasoning Tokens (tokens),1024.00
Total Token Throughput (tokens/sec),386.17
Total Usage Completion Tokens (tokens),1024.00
Total Usage Prompt Cache Read Tokens (tokens),0.00
Total Usage Prompt Tokens (tokens),8199.00
Total Usage Reasoning Tokens (tokens),1024.00
Total Usage Total Tokens (tokens),9223.00
