Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),163.70,0.00,59970.82,,,,,,178.34,,264.75,285.16,361.19,116.30
Active Decode Throughput Per User (tokens/sec/user),163.70,0.00,59970.82,,,,,,178.34,,264.75,285.16,361.19,116.30
Active Prefill Throughput (tokens/sec),10066.66,1719.99,23882.96,,,,,,10109.11,,13352.40,23284.53,23882.96,5046.66
Active Prefill Throughput Per User (tokens/sec/user),10066.66,1719.99,23882.96,,,,,,10109.11,,13352.40,23284.53,23882.96,5046.66
Active Total Throughput (tokens/sec),1320.56,58.39,23882.96,,,,,,175.68,,8452.24,10155.51,20436.36,3619.04
Decode Duration (error-adjusted) (ms),,3112.73,,,3392.77,3847.00,4079.80,5273.01,17516.12,,,,,
Inter Token Latency (error-adjusted) (ms),,3.32,,,3.72,3.82,3.99,5.20,17.12,,,,,
Request Latency (error-adjusted) (ms),,3880.55,,,4154.95,4307.25,4597.30,6088.43,19766.18,,,,,
Time to First Token (error-adjusted) (ms),,343.51,,,343.67,352.34,429.86,806.69,4769.79,,,,,
Credit-to-Start Latency (ms),1.12,0.54,4.54,91.07,0.64,0.72,0.77,0.82,0.94,1.21,1.81,2.05,2.64,0.55
Decode Duration (ms),6159.25,3112.73,17516.12,252529.39,3224.74,3805.07,3847.00,4149.75,5273.01,6416.76,8814.14,14996.39,16884.72,3287.32
E2E Output Token Throughput (tokens/sec/user),169.22,51.81,246.45,6938.00,53.44,61.15,106.56,139.16,165.95,216.32,235.02,240.98,245.49,53.43
Effective Concurrency,0.95,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.21
Effective Decode Concurrency,0.84,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.36
Effective Decode Throughput (tokens/sec),137.84,0.00,59970.82,,,,,,162.60,,260.05,279.53,349.44,122.29
Effective Decode Throughput Per User (tokens/sec/user),137.84,0.00,59970.82,,,,,,162.60,,260.05,279.53,349.44,122.29
Effective Latency (CO-aware) (ms),3532.33,0.54,19770.98,286118.88,0.64,0.72,0.77,0.84,3882.79,6093.53,7398.26,9612.06,18618.32,4354.20
Effective Prefill Concurrency,0.11,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.31
Effective Prefill Throughput (tokens/sec),1121.20,0.00,23882.96,,,,,,0.00,,1719.99,10139.41,19085.37,3586.96
Effective Prefill Throughput Per User (tokens/sec/user),1121.20,0.00,23882.96,,,,,,0.00,,1719.99,10139.41,19085.37,3586.96
Effective Total Throughput (tokens/sec),1259.04,0.00,23882.96,,,,,,174.57,,1719.99,10139.41,19085.37,3544.68
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,390.90,285.00,436.00,16027.00,285.80,294.00,335.00,385.00,404.00,419.00,426.00,430.00,435.20,40.53
HTTP Chunks Sent,1.00,1.00,1.00,41.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,41.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),98.90,75.58,117.45,4055.08,75.77,77.40,85.61,97.41,101.55,103.36,105.94,107.99,113.98,8.85
HTTP Data Sent (KB),35.00,32.58,37.00,1434.83,32.58,32.58,33.37,34.09,35.19,35.49,37.00,37.00,37.00,1.27
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),6976.22,3881.78,19769.16,286025.21,3993.58,4196.96,4307.18,4637.65,6091.32,7268.71,9611.05,16749.18,19192.65,3662.95
HTTP Receiving (ms),6161.32,3114.01,17520.39,252614.12,3228.07,3806.68,3847.00,4152.64,5275.99,6419.10,8815.48,14999.43,16888.24,3287.83
HTTP Sending (ms),0.12,0.10,0.23,4.98,0.10,0.10,0.10,0.10,0.11,0.14,0.16,0.16,0.21,0.03
HTTP Total Time (ms),6976.22,3881.78,19769.16,286025.21,3993.58,4196.96,4307.18,4637.65,6091.32,7268.71,9611.05,16749.18,19192.65,3662.95
HTTP Waiting (TTFB) (ms),814.78,343.30,4769.60,33406.12,343.39,348.79,352.19,761.92,806.54,849.38,876.23,916.44,3249.94,654.35
Input Sequence Length (tokens),8204.00,8204.00,8204.00,336364.00,8204.00,8204.00,8204.00,8204.00,8204.00,8204.00,8204.00,8204.00,8204.00,0.00
Inter Chunk Latency (ms),15.69,0.00,666.16,252529.39,0.00,7.07,8.94,10.01,12.19,14.96,18.16,20.11,169.85,25.14
Inter Token Latency (ms),6.11,3.32,17.12,250.36,3.48,3.76,3.82,4.06,5.20,6.40,8.62,14.66,16.51,3.20
OSL Mismatch Diff % (%),-1.41,-35.06,0.00,-57.62,-30.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.36
Output Sequence Length (tokens),1009.61,665.00,1024.00,41394.00,716.20,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,65.10
Output Token Count (tokens),309.60,1.00,618.00,1548.00,11.08,51.40,101.80,253.00,322.00,354.00,512.40,565.20,607.44,197.82
Output Token Throughput Per User (tokens/sec/user),192.50,58.40,301.52,7892.45,60.72,68.22,116.06,156.14,192.26,246.52,261.93,266.04,288.46,61.38
Prefill Throughput Per User (tokens/sec/user),12596.68,1719.99,23882.97,516463.84,4412.89,8949.69,9361.17,9655.41,10169.97,10765.48,23284.54,23509.49,23878.35,5461.78
Reasoning Token Count (tokens),971.85,47.00,1024.00,39846.00,216.60,670.00,1023.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,180.66
Request Latency (ms),6974.22,3880.55,19766.18,285943.05,3990.31,4195.93,4307.25,4637.66,6088.43,7266.44,9609.80,16746.84,19189.19,3662.42
Time to First Output Token (ms),3546.96,1585.26,5314.03,14187.85,1616.50,1741.44,1897.62,2366.16,3644.28,4825.08,5118.45,5216.24,5294.47,1505.13
Time to First Token (ms),814.97,343.51,4769.79,33413.65,343.57,348.97,352.34,762.07,806.69,849.68,876.39,916.68,3250.13,654.35
Time to Second Token (ms),11.47,0.00,167.51,470.13,0.00,0.00,0.00,0.00,8.48,11.54,14.01,16.07,107.41,25.23
Tokens In Flight (tokens),8229.46,0.00,9228.00,,,,,,8567.45,,9096.43,9164.88,9215.00,1845.23
Usage Completion Tokens (tokens),1009.61,665.00,1024.00,41394.00,716.20,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,65.10
Usage Prompt Cache Read Tokens (tokens),1784.20,0.00,8128.00,73152.00,0.00,0.00,0.00,0.00,0.00,0.00,8128.00,8128.00,8128.00,3364.31
Usage Prompt Tokens (tokens),8204.00,8204.00,8204.00,336364.00,8204.00,8204.00,8204.00,8204.00,8204.00,8204.00,8204.00,8204.00,8204.00,0.00
Usage Reasoning Tokens (tokens),971.85,47.00,1024.00,39846.00,216.60,670.00,1023.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,180.66
Usage Total Tokens (tokens),9213.61,8869.00,9228.00,377758.00,8920.20,9228.00,9228.00,9228.00,9228.00,9228.00,9228.00,9228.00,9228.00,65.10

Metric,Value
Benchmark Duration (sec),298.63
Completed Requests (Success + Error),81.00
Context Overflow Count,0.00
Error Request Count,40.00
Input Token Throughput (tokens/sec),1121.20
OSL Mismatch Count,2.00
Output Token Throughput (tokens/sec),137.98
Overall Usage Prompt Cache Read % (%),21.75
Request Count,41.00
Request Error Rate (%),49.38
Request Throughput (requests/sec),0.14
Total Input Sequence Length (tokens),336364.00
Total Output Sequence Length (tokens),41394.00
Total Output Tokens (tokens),1548.00
Total Reasoning Tokens (tokens),39846.00
Total Token Throughput (tokens/sec),1259.18
Total Usage Completion Tokens (tokens),41394.00
Total Usage Prompt Cache Read Tokens (tokens),73152.00
Total Usage Prompt Tokens (tokens),336364.00
Total Usage Reasoning Tokens (tokens),39846.00
Total Usage Total Tokens (tokens),377758.00
