Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),68.96,0.00,47721.84,,,,,,68.68,,88.14,118.09,245.67,52.60
Active Decode Throughput Per User (tokens/sec/user),68.96,0.00,47721.84,,,,,,68.68,,88.14,118.09,245.67,52.60
Active Prefill Throughput (tokens/sec),6919.98,3375.06,9689.12,,,,,,7234.77,,9598.36,9677.71,9689.12,2010.91
Active Prefill Throughput Per User (tokens/sec/user),6919.98,3375.06,9689.12,,,,,,7234.77,,9598.36,9677.71,9689.12,2010.91
Active Total Throughput (tokens/sec),580.15,62.86,9689.12,,,,,,68.60,,77.80,5850.95,9250.62,1882.18
Credit-to-Start Latency (ms),1.77,1.05,4.08,31.87,1.08,1.19,1.28,1.37,1.60,1.70,2.81,3.04,3.87,0.73
Decode Duration (ms),14828.76,13146.40,16270.82,266917.72,13158.10,13204.91,13396.97,13992.32,14982.46,15800.13,16047.15,16149.72,16246.60,1004.66
E2E Output Token Throughput (tokens/sec/user),64.22,58.80,72.04,1155.97,58.85,59.04,59.24,60.89,62.63,68.95,71.49,72.02,72.03,4.61
Effective Concurrency,0.96,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.19
Effective Decode Concurrency,0.89,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.31
Effective Decode Throughput (tokens/sec),61.38,0.00,47721.84,,,,,,67.08,,85.87,110.79,235.20,54.11
Effective Decode Throughput Per User (tokens/sec/user),61.38,0.00,47721.84,,,,,,67.08,,85.87,110.79,235.20,54.11
Effective Latency (CO-aware) (ms),16032.11,14219.66,17420.23,288577.92,14219.95,14221.12,14327.50,14857.06,16372.47,16824.24,17289.92,17348.74,17405.94,1111.37
Effective Prefill Concurrency,0.07,0.00,1.00,,,,,,0.00,,0.00,1.00,1.00,0.26
Effective Prefill Throughput (tokens/sec),496.62,0.00,9689.12,,,,,,0.00,,0.00,5850.95,9250.62,1865.51
Effective Prefill Throughput Per User (tokens/sec/user),496.62,0.00,9689.12,,,,,,0.00,,0.00,5850.95,9250.62,1865.51
Effective Total Throughput (tokens/sec),557.99,0.00,9689.12,,,,,,67.82,,77.80,5850.95,9250.62,1849.23
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,503.61,385.00,609.00,9065.00,390.44,412.20,431.00,443.75,473.50,579.50,595.20,605.60,608.32,73.54
HTTP Chunks Sent,1.00,1.00,1.00,18.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,18.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),243.23,185.26,290.48,4378.21,187.68,197.37,206.19,214.54,228.38,281.91,286.75,289.93,290.37,36.41
HTTP Data Sent (KB),34.24,31.84,35.48,616.38,31.84,31.84,32.70,33.99,34.40,34.91,35.30,35.40,35.47,1.03
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),16030.28,14217.18,17417.30,288545.01,14217.34,14217.97,14325.56,14855.48,16371.28,16822.65,17288.40,17346.80,17403.20,1111.46
HTTP Receiving (ms),14834.23,13148.41,16273.33,267016.22,13159.77,13205.21,13398.41,13995.22,14998.20,15802.43,16049.26,16152.74,16249.21,1004.33
HTTP Sending (ms),0.13,0.10,0.34,2.28,0.10,0.10,0.10,0.10,0.11,0.12,0.16,0.23,0.32,0.06
HTTP Total Time (ms),16030.28,14217.18,17417.30,288545.01,14217.34,14217.97,14325.56,14855.48,16371.28,16822.65,17288.40,17346.80,17403.20,1111.46
HTTP Waiting (TTFB) (ms),1195.92,854.10,2452.24,21526.52,854.27,854.96,860.07,933.56,1038.06,1356.29,1598.82,2004.27,2362.64,407.02
Input Sequence Length (tokens),8277.00,8277.00,8277.00,148986.00,8277.00,8277.00,8277.00,8277.00,8277.00,8277.00,8277.00,8277.00,8277.00,0.00
Inter Chunk Latency (ms),29.34,0.00,3059.19,266917.72,1.30,8.05,14.26,22.68,26.15,31.79,35.86,42.26,116.25,48.03
Inter Token Latency (ms),14.50,12.85,15.91,260.92,12.86,12.91,13.10,13.68,14.65,15.44,15.69,15.79,15.88,0.98
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),1024.00,1024.00,1024.00,18432.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Output Token Count (tokens),192.14,8.00,344.00,1345.00,14.24,39.20,70.40,126.00,142.00,299.50,344.00,344.00,344.00,116.89
Output Token Throughput Per User (tokens/sec/user),69.31,62.87,77.82,1247.61,62.97,63.35,63.75,64.75,68.28,73.11,76.37,77.47,77.75,4.79
Prefill Throughput Per User (tokens/sec/user),7504.34,3375.06,9689.12,135078.16,3532.11,4160.32,5260.54,6114.08,7973.60,8867.38,9622.17,9679.42,9687.18,1807.47
Reasoning Token Count (tokens),949.28,680.00,1024.00,17087.00,680.00,680.00,742.30,891.00,1024.00,1024.00,1024.00,1024.00,1024.00,118.69
Request Latency (ms),16024.86,14215.28,17414.88,288447.54,14215.77,14217.73,14324.18,14852.63,16350.78,16818.36,17286.74,17344.99,17400.90,1111.33
Time to First Output Token (ms),13778.25,10316.29,17389.12,96447.73,10366.82,10568.93,10821.57,11927.58,14538.76,15174.20,16183.27,16786.20,17268.54,2318.15
Time to First Token (ms),1196.10,854.26,2452.40,21529.82,854.43,855.11,860.21,933.71,1038.24,1356.44,1598.98,2004.43,2362.81,407.01
Time to Second Token (ms),155.28,113.47,287.01,2795.05,114.72,119.71,122.27,130.61,142.02,162.35,194.54,225.46,274.70,40.57
Tokens In Flight (tokens),8406.71,0.00,9301.00,,,,,,8709.41,,9185.80,9244.82,9288.82,1703.68
Usage Accepted Prediction Tokens (tokens),517.56,414.00,643.00,9316.00,415.19,419.95,427.30,436.50,550.50,582.00,592.10,609.85,636.37,76.79
Usage Completion Audio Tokens (tokens),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Usage Completion Tokens (tokens),1024.00,1024.00,1024.00,18432.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
