Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),63.79,0.00,11890.25,,,,,,66.54,,72.99,75.50,86.97,51.15
Active Decode Throughput Per User (tokens/sec/user),63.79,0.00,11890.25,,,,,,66.54,,72.99,75.50,86.97,51.15
Active Prefill Throughput (tokens/sec),7072.13,7072.13,7072.13,,,,,,7072.13,,7072.13,7072.13,7072.13,0.00
Active Prefill Throughput Per User (tokens/sec/user),7072.13,7072.13,7072.13,,,,,,7072.13,,7072.13,7072.13,7072.13,0.00
Active Total Throughput (tokens/sec),541.13,63.79,7072.13,,,,,,63.79,,63.79,7072.13,7072.13,1765.66
Credit-to-Start Latency (ms),3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,0.00
Decode Duration (ms),16035.26,16035.26,16035.26,16035.26,16035.26,16035.26,16035.26,16035.26,16035.26,16035.26,16035.26,16035.26,16035.26,0.00
E2E Output Token Throughput (tokens/sec/user),59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,59.51,0.00
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.03
Effective Decode Concurrency,0.93,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.25
Effective Decode Throughput (tokens/sec),59.39,0.00,11890.25,,,,,,66.09,,72.52,75.01,86.85,51.94
Effective Decode Throughput Per User (tokens/sec/user),59.39,0.00,11890.25,,,,,,66.09,,72.52,75.01,86.85,51.94
Effective Latency (CO-aware) (ms),17213.16,17213.16,17213.16,17213.16,17213.16,17213.16,17213.16,17213.16,17213.16,17213.16,17213.16,17213.16,17213.16,0.00
Effective Prefill Concurrency,0.07,0.00,1.00,,,,,,0.00,,0.00,1.00,1.00,0.25
Effective Prefill Throughput (tokens/sec),481.28,0.00,7072.13,,,,,,0.00,,0.00,7072.13,7072.13,1781.03
Effective Prefill Throughput Per User (tokens/sec/user),481.28,0.00,7072.13,,,,,,0.00,,0.00,7072.13,7072.13,1781.03
Effective Total Throughput (tokens/sec),540.67,0.00,7072.13,,,,,,63.79,,63.79,7072.13,7072.13,1764.98
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,569.00,569.00,569.00,569.00,569.00,569.00,569.00,569.00,569.00,569.00,569.00,569.00,569.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),63.28,63.28,63.28,63.28,63.28,63.28,63.28,63.28,63.28,63.28,63.28,63.28,63.28,0.00
HTTP Connection Overhead (ms),66.53,66.53,66.53,66.53,66.53,66.53,66.53,66.53,66.53,66.53,66.53,66.53,66.53,0.00
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),271.41,271.41,271.41,271.41,271.41,271.41,271.41,271.41,271.41,271.41,271.41,271.41,271.41,0.00
HTTP Data Sent (KB),33.10,33.10,33.10,33.10,33.10,33.10,33.10,33.10,33.10,33.10,33.10,33.10,33.10,0.00
HTTP DNS Lookup (ms),3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,0.00
HTTP Duration (excl. conn) (ms),17209.66,17209.66,17209.66,17209.66,17209.66,17209.66,17209.66,17209.66,17209.66,17209.66,17209.66,17209.66,17209.66,0.00
HTTP Receiving (ms),16038.01,16038.01,16038.01,16038.01,16038.01,16038.01,16038.01,16038.01,16038.01,16038.01,16038.01,16038.01,16038.01,0.00
HTTP Sending (ms),64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,0.00
HTTP Total Time (ms),17276.19,17276.19,17276.19,17276.19,17276.19,17276.19,17276.19,17276.19,17276.19,17276.19,17276.19,17276.19,17276.19,0.00
HTTP Waiting (TTFB) (ms),1107.37,1107.37,1107.37,1107.37,1107.37,1107.37,1107.37,1107.37,1107.37,1107.37,1107.37,1107.37,1107.37,0.00
Input Sequence Length (tokens),8290.00,8290.00,8290.00,8290.00,8290.00,8290.00,8290.00,8290.00,8290.00,8290.00,8290.00,8290.00,8290.00,0.00
Inter Chunk Latency (ms),28.38,0.16,202.05,16035.26,3.25,21.81,24.20,25.60,26.82,28.05,29.65,33.76,121.51,15.53
Inter Token Latency (ms),15.67,15.67,15.67,15.67,15.67,15.67,15.67,15.67,15.67,15.67,15.67,15.67,15.67,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Output Token Throughput Per User (tokens/sec/user),63.80,63.80,63.80,63.80,63.80,63.80,63.80,63.80,63.80,63.80,63.80,63.80,63.80,0.00
Prefill Throughput Per User (tokens/sec/user),7072.12,7072.12,7072.12,7072.12,7072.12,7072.12,7072.12,7072.12,7072.12,7072.12,7072.12,7072.12,7072.12,0.00
Reasoning Token Count (tokens),1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Request Latency (ms),17207.47,17207.47,17207.47,17207.47,17207.47,17207.47,17207.47,17207.47,17207.47,17207.47,17207.47,17207.47,17207.47,0.00
Time to First Token (ms),1172.21,1172.21,1172.21,1172.21,1172.21,1172.21,1172.21,1172.21,1172.21,1172.21,1172.21,1172.21,1172.21,0.00
Time to Second Token (ms),127.10,127.10,127.10,127.10,127.10,127.10,127.10,127.10,127.10,127.10,127.10,127.10,127.10,0.00
Tokens In Flight (tokens),8743.27,0.00,9314.00,,,,,,8741.84,,9192.69,9252.44,9301.33,403.17
Usage Accepted Prediction Tokens (tokens),458.00,458.00,458.00,458.00,458.00,458.00,458.00,458.00,458.00,458.00,458.00,458.00,458.00,0.00
Usage Completion Audio Tokens (tokens),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Usage Completion Tokens (tokens),1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Usage Prompt Audio Tokens (tokens),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Usage Prompt Cache Read Tokens (tokens),64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,0.00
Usage Prompt Tokens (tokens),8290.00,8290.00,8290.00,8290.00,8290.00,8290.00,8290.00,8290.00,8290.00,8290.00,8290.00,8290.00,8290.00,0.00
Usage Reasoning Tokens (tokens),1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Usage Rejected Prediction Tokens (tokens),107.00,107.00,107.00,107.00,107.00,107.00,107.00,107.00,107.00,107.00,107.00,107.00,107.00,0.00
Usage Total Tokens (tokens),9314.00,9314.00,9314.00,9314.00,9314.00,9314.00,9314.00,9314.00,9314.00,9314.00,9314.00,9314.00,9314.00,0.00

Metric,Value
Benchmark Duration (sec),17.21
Input Token Throughput (tokens/sec),481.28
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),59.45
Overall Usage Prompt Cache Read % (%),0.77
Request Count,1.00
Request Throughput (requests/sec),0.06
Total Input Sequence Length (tokens),8290.00
Total Output Sequence Length (tokens),1024.00
Total Reasoning Tokens (tokens),1024.00
Total Token Throughput (tokens/sec),540.73
Total Usage Accepted Prediction Tokens (tokens),458.00
Total Usage Completion Audio Tokens (tokens),0.00
Total Usage Completion Tokens (tokens),1024.00
Total Usage Prompt Audio Tokens (tokens),0.00
Total Usage Prompt Cache Read Tokens (tokens),64.00
Total Usage Prompt Tokens (tokens),8290.00
Total Usage Reasoning Tokens (tokens),1024.00
Total Usage Rejected Prediction Tokens (tokens),107.00
Total Usage Total Tokens (tokens),9314.00
