Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),54.26,0.00,80750.84,,,,,,56.17,,64.63,67.64,77.44,201.42
Active Decode Throughput Per User (tokens/sec/user),54.26,0.00,80750.84,,,,,,56.17,,64.63,67.64,77.44,201.42
Active Prefill Throughput (tokens/sec),5086.94,2328.87,17350.20,,,,,,5436.28,,7868.64,8075.52,17350.20,2644.33
Active Prefill Throughput Per User (tokens/sec/user),5086.94,2328.87,17350.20,,,,,,5436.28,,7868.64,8075.52,17350.20,2644.33
Active Total Throughput (tokens/sec),454.23,47.23,17350.20,,,,,,55.79,,60.05,3928.08,7546.19,1551.99
Credit-to-Start Latency (ms),3.13,2.14,4.18,43.75,2.15,2.16,2.19,2.27,3.15,3.90,4.09,4.17,4.17,0.82
Decode Duration (ms),18852.75,17036.83,21658.44,263938.53,17110.34,17404.38,17627.15,17851.89,18705.81,19641.28,19967.83,20628.80,21452.51,1192.43
E2E Output Token Throughput (tokens/sec/user),50.28,43.55,56.61,703.85,43.65,44.04,45.47,48.32,49.54,53.14,54.71,55.41,56.37,3.70
Effective Concurrency,0.96,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.21
Effective Decode Concurrency,0.88,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.33
Effective Decode Throughput (tokens/sec),47.74,0.00,80750.84,,,,,,54.57,,64.08,67.11,76.08,189.75
Effective Decode Throughput Per User (tokens/sec/user),47.74,0.00,80750.84,,,,,,54.57,,64.08,67.11,76.08,189.75
Effective Latency (CO-aware) (ms),20483.78,18093.02,23517.95,286772.97,18172.16,18488.73,18717.69,19273.95,20673.41,21194.05,22556.16,23255.30,23465.42,1535.54
Effective Prefill Concurrency,0.08,0.00,1.00,,,,,,0.00,,0.00,1.00,1.00,0.26
Effective Prefill Throughput (tokens/sec),386.40,0.00,17350.20,,,,,,0.00,,0.00,3928.08,7546.19,1532.13
Effective Prefill Throughput Per User (tokens/sec/user),386.40,0.00,17350.20,,,,,,0.00,,0.00,3928.08,7546.19,1532.13
Effective Total Throughput (tokens/sec),434.14,0.00,17350.20,,,,,,53.63,,60.05,3928.08,7546.19,1520.15
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,548.29,499.00,576.00,7676.00,500.95,508.75,514.90,547.75,555.00,560.50,567.80,571.45,575.09,21.60
