Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),144.34,0.00,267701.45,,,,,,97.34,,225.75,303.99,804.90,801.82
Active Decode Throughput Per User (tokens/sec/user),105.45,0.00,101772.43,,,,,,66.41,,178.46,225.75,544.64,434.72
Active Prefill Throughput (tokens/sec),28927.05,375.57,56505.03,,,,,,28308.79,,46716.81,51757.37,56505.03,14129.07
Active Prefill Throughput Per User (tokens/sec/user),28661.04,375.57,56505.03,,,,,,28308.79,,46716.81,51757.37,56505.03,14311.68
Active Total Throughput (tokens/sec),6908.00,42.97,56505.03,,,,,,123.74,,31629.56,42104.86,51757.37,13993.17
Credit-to-Start Latency (ms),2.95,0.66,23.69,215.39,0.69,0.85,0.96,1.19,2.11,3.00,4.67,8.28,15.68,3.32
Decode Duration (ms),10501.28,148.00,47861.54,766593.56,188.21,520.11,1032.43,2208.46,5944.38,14564.25,28843.02,34034.79,43519.61,11378.93
E2E Output Token Throughput (tokens/sec/user),67.22,7.92,122.21,4906.83,8.50,18.69,28.14,48.59,68.41,85.02,104.75,109.76,117.67,27.60
Effective Concurrency,1.03,0.00,5.00,,,,,,1.00,,2.00,4.00,5.00,1.10
Effective Decode Concurrency,0.85,0.00,5.00,,,,,,1.00,,2.00,4.00,5.00,1.13
Effective Decode Throughput (tokens/sec),83.36,0.00,267701.45,,,,,,30.14,,174.17,238.12,502.51,613.49
Effective Decode Throughput Per User (tokens/sec/user),60.90,0.00,101772.43,,,,,,26.66,,142.51,191.75,365.19,334.44
Effective Latency (CO-aware) (ms),12713.98,1572.61,50179.20,928120.90,1743.16,2583.31,3101.27,4610.96,8369.24,16683.13,30190.51,35153.98,45118.60,11097.74
Effective Prefill Concurrency,0.18,0.00,3.00,,,,,,0.00,,1.00,1.00,1.00,0.40
Effective Prefill Throughput (tokens/sec),5020.18,0.00,56505.03,,,,,,0.00,,25736.28,40238.30,51223.21,12436.32
Effective Prefill Throughput Per User (tokens/sec/user),4974.02,0.00,56505.03,,,,,,0.00,,25463.47,40238.30,51223.21,12384.11
Effective Total Throughput (tokens/sec),5103.54,0.00,56505.03,,,,,,117.91,,25736.28,40238.30,51223.21,12404.43
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,227.82,4.00,1240.00,16631.00,4.00,11.20,23.40,50.00,171.00,281.00,520.20,639.60,1158.64,237.11
HTTP Chunks Sent,1.00,1.00,1.00,73.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),15.49,0.00,573.95,1131.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.42,472.63,83.36
HTTP Connection Overhead (ms),21.32,0.00,998.96,1556.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.42,591.64,126.06
HTTP Connection Reused (ratio),0.95,0.00,1.00,69.00,0.00,0.60,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.23
HTTP Data Received (KB),170.36,3.22,978.42,12436.29,3.63,8.76,18.15,32.97,95.68,247.56,461.28,564.05,706.06,187.82
HTTP Data Sent (KB),242.88,1.70,474.42,17730.57,1.86,11.40,11.65,183.56,264.41,310.30,438.35,462.99,473.95,144.29
HTTP DNS Lookup (ms),5.82,0.00,425.01,425.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,119.00,49.40
HTTP Duration (excl. conn) (ms),12710.89,1562.67,50172.69,927894.68,1723.27,2580.30,3099.57,4607.75,8368.34,16682.04,30187.45,35151.21,45113.96,11097.49
HTTP Receiving (ms),10510.26,148.00,47870.80,767248.88,188.21,520.24,1036.16,2215.66,5948.75,14564.25,28845.98,34036.01,43522.21,11381.73
HTTP Sending (ms),15.80,0.11,574.44,1153.11,0.11,0.12,0.14,0.19,0.31,0.40,0.50,23.88,473.02,83.38
HTTP Total Time (ms),12732.20,1562.67,50172.69,929450.73,1723.27,2580.30,3099.57,4607.75,8368.34,16682.04,30187.45,35550.80,45113.96,11136.43
HTTP Waiting (TTFB) (ms),2184.83,673.33,7164.49,159492.68,827.53,898.25,910.83,1702.78,2080.81,2471.46,3092.64,4083.92,5828.83,1053.79
Input Sequence Length (tokens),61893.11,479.00,121348.00,4518197.00,527.96,3035.60,3038.00,46251.00,67469.00,79640.00,112076.80,118375.00,121209.76,36884.51
Inter Chunk Latency (ms),29.03,0.00,1078.49,766593.56,0.00,0.00,0.00,0.00,7.05,29.31,83.87,156.17,189.27,48.79
Inter Token Latency (ms),10.47,6.39,23.15,764.34,6.52,7.32,7.95,8.46,9.68,12.09,14.19,15.54,21.29,3.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),1028.71,17.00,5814.00,75096.00,17.72,42.80,89.40,195.00,606.00,1505.00,2480.40,3220.00,4540.32,1115.03
Output Token Count (tokens),911.48,1.00,5814.00,62892.00,12.56,60.00,99.60,191.00,567.00,1174.00,2100.00,2975.20,4611.08,1048.55
Output Token Throughput Per User (tokens/sec/user),101.76,43.19,156.60,7428.23,47.10,64.33,70.49,82.70,103.27,118.24,125.73,136.65,153.41,23.22
Prefill Throughput Per User (tokens/sec/user),27014.83,375.57,56505.03,1972082.95,483.62,2326.44,3163.27,14745.29,28308.79,40949.27,46693.28,51436.87,54801.97,16209.67
Reasoning Token Count (tokens),167.18,0.00,1644.00,12204.00,0.00,0.00,0.00,0.00,0.00,273.00,540.60,848.20,1501.44,340.64
Request Latency (ms),12702.06,1559.54,50163.53,927250.18,1722.28,2580.25,3099.55,4602.81,8368.42,16682.14,30184.12,35148.14,45111.50,11094.94
Time to First Output Token (ms),4336.64,1682.37,23552.40,294891.18,1701.70,1828.27,1941.37,2073.98,2432.88,5478.70,9010.36,10952.23,19255.65,3997.13
Time to First Token (ms),2200.78,673.65,7165.13,160656.62,827.81,911.92,962.45,1703.25,2081.41,2472.04,3093.16,4084.43,5829.14,1038.13
Time to Second Token (ms),79.22,0.00,401.52,5783.09,0.00,0.00,0.00,0.37,28.07,160.50,184.05,231.17,399.54,93.80
Tokens In Flight (tokens),50080.12,0.00,121420.00,,,,,,56954.00,,108129.94,116847.03,120814.84,41395.90
Usage Accepted Prediction Tokens (tokens),648.70,7.00,3709.00,47355.00,9.88,24.80,51.00,133.00,381.00,844.00,1514.60,2003.00,3043.00,714.46
Usage Completion Audio Tokens (tokens),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Usage Completion Tokens (tokens),1028.71,17.00,5814.00,75096.00,17.72,42.80,89.40,195.00,606.00,1505.00,2480.40,3220.00,4540.32,1115.03
Usage Prompt Audio Tokens (tokens),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Usage Prompt Cache Read Tokens (tokens),56709.32,60.00,120348.00,4139780.00,60.00,60.00,60.00,64.00,65116.00,75932.00,111336.80,116328.80,120348.00,39334.50
Usage Prompt Tokens (tokens),61893.11,479.00,121348.00,4518197.00,527.96,3035.60,3038.00,46251.00,67469.00,79640.00,112076.80,118375.00,121209.76,36884.51
Usage Reasoning Tokens (tokens),167.18,0.00,1644.00,12204.00,0.00,0.00,0.00,0.00,0.00,273.00,540.60,848.20,1501.44,340.64
Usage Rejected Prediction Tokens (tokens),809.29,13.00,4707.00,59078.00,18.76,49.60,77.60,140.00,361.00,1042.00,2316.80,2900.60,4539.96,1025.66
Usage Total Tokens (tokens),62921.82,508.00,121420.00,4593293.00,548.32,4808.60,5186.80,46611.00,67715.00,80246.00,112264.20,119223.40,121267.36,36571.19

Metric,Value
Benchmark Duration (sec),876.16
Input Token Throughput (tokens/sec),5020.18
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),83.44
Overall Usage Prompt Cache Read % (%),91.62
Request Count,73.00
Request Throughput (requests/sec),0.08
Theoretical Prefix Cache Hit (%),92.84
Total Input Sequence Length (tokens),4518197.00
Total Output Sequence Length (tokens),75096.00
Total Output Tokens (tokens),62892.00
Total Reasoning Tokens (tokens),12204.00
Total Token Throughput (tokens/sec),5103.62
Total Usage Accepted Prediction Tokens (tokens),47355.00
Total Usage Completion Audio Tokens (tokens),0.00
Total Usage Completion Tokens (tokens),75096.00
Total Usage Prompt Audio Tokens (tokens),0.00
Total Usage Prompt Cache Read Tokens (tokens),4139780.00
Total Usage Prompt Tokens (tokens),4518197.00
Total Usage Reasoning Tokens (tokens),12204.00
Total Usage Rejected Prediction Tokens (tokens),59078.00
Total Usage Total Tokens (tokens),4593293.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
