Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),48.71,0.00,139504.81,,,,,,34.77,,73.11,82.77,219.78,290.85
Active Decode Throughput Per User (tokens/sec/user),40.15,0.00,46188.17,,,,,,28.30,,66.23,71.74,149.48,239.80
Active Prefill Throughput (tokens/sec),20685.37,0.00,54887.40,,,,,,19863.32,,41543.36,49522.56,54887.40,16545.57
Active Prefill Throughput Per User (tokens/sec/user),20377.48,0.00,54887.40,,,,,,17330.63,,41543.36,49522.56,54887.40,16662.94
Active Total Throughput (tokens/sec),3897.71,0.00,54887.40,,,,,,54.15,,16459.00,31772.85,49522.56,10752.50
Credit-to-Start Latency (ms),2.86,0.69,8.69,145.91,0.73,0.95,1.10,1.66,2.44,3.24,5.47,7.46,8.51,1.88
Decode Duration (ms),16687.29,554.02,74143.02,851051.93,652.49,1149.14,2981.91,5031.64,11008.08,20725.93,40463.74,56020.44,71127.70,17190.65
E2E Output Token Throughput (tokens/sec/user),37.48,9.80,54.15,1424.31,11.28,15.23,19.30,28.26,39.88,46.11,52.35,52.98,54.09,12.29
Effective Concurrency,1.12,0.00,5.00,,,,,,1.00,,2.00,4.00,5.00,1.00
Effective Decode Concurrency,0.95,0.00,5.00,,,,,,1.00,,2.00,3.00,4.00,0.93
Effective Decode Throughput (tokens/sec),35.24,0.00,139504.81,,,,,,20.38,,69.20,77.24,152.01,248.34
Effective Decode Throughput Per User (tokens/sec/user),29.04,0.00,46188.17,,,,,,14.96,,63.42,69.07,103.44,204.75
Effective Latency (CO-aware) (ms),19746.74,1878.61,77424.90,1007083.63,2695.26,3618.15,5403.94,8557.49,13810.59,23559.18,43042.80,63083.93,74171.51,17842.23
Effective Prefill Concurrency,0.17,0.00,4.00,,,,,,0.00,,1.00,1.00,2.00,0.42
Effective Prefill Throughput (tokens/sec),3248.90,0.00,54887.40,,,,,,0.00,,15336.39,29991.81,48744.45,9982.30
Effective Prefill Throughput Per User (tokens/sec/user),3200.55,0.00,54887.40,,,,,,0.00,,14720.52,29991.81,48744.45,9928.98
Effective Total Throughput (tokens/sec),3284.14,0.00,54887.40,,,,,,52.02,,15336.39,29991.81,48744.45,9971.52
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,406.41,12.00,2202.00,20727.00,14.50,27.00,73.00,123.50,263.00,483.50,861.00,1308.50,2030.50,448.20
HTTP Chunks Sent,1.00,1.00,1.00,51.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
