Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),108.39,0.00,712772.62,,,,,,81.60,,210.43,361.96,711.30,603.83
Active Decode Throughput Per User (tokens/sec/user),70.25,0.00,690756.16,,,,,,42.54,,164.08,185.85,309.69,484.01
Active Prefill Throughput (tokens/sec),33374.42,313.12,79165.73,,,,,,30298.96,,58871.18,69884.95,79165.73,18712.77
Active Prefill Throughput Per User (tokens/sec/user),32696.70,313.12,79165.73,,,,,,28817.81,,58871.18,69884.95,79165.73,19188.06
Active Total Throughput (tokens/sec),5441.85,20.13,79165.73,,,,,,109.01,,24989.50,40211.99,68946.31,14321.20
Credit-to-Start Latency (ms),2.29,0.59,14.94,144.15,0.63,0.79,0.82,1.09,1.76,2.75,3.71,5.14,10.32,2.11
Decode Duration (ms),16124.01,0.00,83423.73,1015812.42,0.00,506.55,827.06,2550.23,7392.40,17918.58,48793.61,52946.43,78774.92,20073.54
E2E Output Token Throughput (tokens/sec/user),55.44,6.67,147.60,3492.79,6.89,14.55,29.68,40.23,52.96,65.06,92.36,103.10,134.89,26.67
Effective Concurrency,1.27,0.00,5.00,,,,,,1.00,,3.00,5.00,5.00,1.26
Effective Decode Concurrency,1.13,0.00,5.00,,,,,,1.00,,3.00,5.00,5.00,1.30
Effective Decode Throughput (tokens/sec),73.29,0.00,712772.62,,,,,,18.57,,182.93,272.34,643.05,499.11
Effective Decode Throughput Per User (tokens/sec/user),47.50,0.00,690756.16,,,,,,14.76,,133.72,171.74,286.56,399.35
Effective Latency (CO-aware) (ms),18111.83,1420.25,84459.80,1141045.45,1793.70,2236.88,2510.77,4862.20,9519.57,18924.28,50360.02,55791.37,80074.17,19882.05
Effective Prefill Concurrency,0.14,0.00,5.00,,,,,,0.00,,1.00,1.00,1.00,0.40
Effective Prefill Throughput (tokens/sec),4251.10,0.00,79165.73,,,,,,0.00,,16806.09,38249.49,62320.16,12977.25
Effective Prefill Throughput Per User (tokens/sec/user),4164.77,0.00,79165.73,,,,,,0.00,,16806.09,38249.49,62320.16,12873.48
Effective Total Throughput (tokens/sec),4324.39,0.00,79165.73,,,,,,81.65,,16806.09,38249.49,62320.16,12954.28
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,42.60,2.00,561.00,2684.00,2.00,3.10,5.40,10.50,24.00,44.50,82.40,108.10,335.32,74.33
HTTP Chunks Sent,1.00,1.00,1.00,63.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),2.59,0.00,110.55,162.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.82,53.82,14.21
HTTP Connection Overhead (ms),4.09,0.00,205.40,257.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.82,89.87,25.84
HTTP Connection Reused (ratio),0.94,0.00,1.00,59.00,0.00,0.10,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.24
HTTP Data Received (KB),15.86,1.29,173.81,999.10,1.29,1.85,2.51,3.90,8.91,19.98,31.30,38.88,110.54,23.80
HTTP Data Sent (KB),238.00,1.70,474.42,14994.22,1.84,11.36,11.62,128.51,262.64,358.56,440.65,464.41,474.02,154.54
HTTP DNS Lookup (ms),1.51,0.00,94.86,94.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.05,11.86
HTTP Duration (excl. conn) (ms),18109.42,1419.52,84458.85,1140893.39,1792.52,2232.71,2508.48,4860.72,9518.46,18920.39,50356.71,55790.49,80071.02,19882.14
HTTP Receiving (ms),16382.43,166.19,83423.74,1032093.05,171.43,700.33,1029.18,3634.10,7803.53,17919.01,48793.62,53374.28,78774.92,20001.47
HTTP Sending (ms),2.84,0.11,110.80,178.88,0.11,0.12,0.13,0.18,0.25,0.34,0.49,15.08,54.08,14.21
HTTP Total Time (ms),18113.51,1419.52,84458.85,1141151.23,1792.52,2232.71,2508.48,4860.72,9518.46,18920.39,50411.33,55792.14,80071.02,19888.42
HTTP Waiting (TTFB) (ms),1724.15,767.26,5584.51,108621.47,800.58,972.53,1033.91,1210.66,1535.32,1987.54,2556.08,3120.43,4124.49,778.48
Input Sequence Length (tokens),60730.17,480.00,121344.00,3826001.00,518.44,3036.10,3038.20,32934.00,67465.00,91685.00,112719.60,118708.50,121224.96,39524.65
Inter Chunk Latency (ms),392.05,0.00,71589.71,1015812.42,0.00,0.00,8.28,66.30,228.77,276.68,643.11,1030.85,1960.33,2194.87
Inter Token Latency (ms),14.48,0.00,49.67,912.20,0.00,6.05,6.73,8.81,12.95,17.81,23.24,27.19,45.54,8.39
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),1048.57,17.00,5814.00,66060.00,17.62,31.30,89.40,193.00,580.00,1574.50,2645.20,3565.00,4717.22,1174.71
Output Token Count (tokens),858.73,15.00,5814.00,51524.00,16.77,50.40,84.60,187.25,524.00,1006.50,1936.40,3297.85,4770.29,1094.37
Output Token Throughput Per User (tokens/sec/user),83.71,20.13,201.14,5106.19,22.00,36.48,42.91,55.63,72.22,109.01,129.01,158.83,179.75,38.36
Prefill Throughput Per User (tokens/sec/user),31117.59,313.12,79165.73,1960408.19,481.33,1866.49,2276.03,14428.25,28817.81,47658.31,60274.54,69791.08,77974.56,22365.48
Reasoning Token Count (tokens),230.73,0.00,1859.00,14536.00,0.00,0.00,0.00,0.00,0.00,351.50,879.20,1108.00,1790.18,442.14
Request Latency (ms),18105.29,1419.59,84458.95,1140633.55,1792.60,2232.82,2508.63,4860.79,9518.53,18920.30,50356.71,55790.46,80071.13,19872.74
Time to First Output Token (ms),7157.95,1188.40,38902.14,429476.78,1229.52,1386.72,1454.18,1691.25,2579.16,8113.01,21786.24,31602.71,35462.60,9335.78
Time to First Token (ms),1981.29,767.54,6675.08,124821.13,800.88,988.53,1094.37,1423.51,1699.59,2529.40,3063.99,3218.67,4718.58,909.88
Time to Second Token (ms),451.00,0.00,3358.93,27511.01,97.32,171.57,226.16,241.31,255.67,406.80,1074.23,1220.05,2101.99,488.77
Tokens In Flight (tokens),50544.11,0.00,121416.00,,,,,,47635.00,,116367.05,118801.07,120706.62,43233.88
Usage Completion Tokens (tokens),1048.57,17.00,5814.00,66060.00,17.62,31.30,89.40,193.00,580.00,1574.50,2645.20,3565.00,4717.22,1174.71
Usage Prompt Cache Read Tokens (tokens),55624.16,64.00,121344.00,3504322.00,64.00,64.00,64.00,64.00,65830.00,84486.50,112610.40,118708.50,121224.96,42865.01
Usage Prompt Tokens (tokens),60730.17,480.00,121344.00,3826001.00,518.44,3036.10,3038.20,32934.00,67465.00,91685.00,112719.60,118708.50,121224.96,39524.65
