Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),64.98,0.00,7834.61,,,,,,82.39,,108.82,113.07,132.33,65.57
Active Decode Throughput Per User (tokens/sec/user),64.98,0.00,7834.61,,,,,,82.39,,108.82,113.07,132.33,65.57
Active Prefill Throughput (tokens/sec),2962.34,1049.62,7527.41,,,,,,2414.31,,6261.77,6486.34,7527.41,1858.08
Active Prefill Throughput Per User (tokens/sec/user),2962.34,1049.62,7527.41,,,,,,2414.31,,6261.77,6486.34,7527.41,1858.08
Active Total Throughput (tokens/sec),517.09,43.02,7527.41,,,,,,64.90,,2071.78,3282.71,6486.34,1282.38
Credit-to-Start Latency (ms),0.99,0.50,3.34,15.80,0.54,0.69,0.76,0.79,0.86,0.91,0.95,1.57,2.98,0.62
Decode Duration (ms),15108.88,7001.68,23777.94,241742.01,7481.74,9401.97,10299.34,11404.97,14341.33,18663.43,21212.11,23405.71,23703.49,4647.55
E2E Output Token Throughput (tokens/sec/user),57.52,36.87,89.21,920.36,37.06,37.83,39.66,48.18,53.26,71.88,74.94,78.54,87.08,14.75
Effective Concurrency,0.95,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.21
Effective Decode Concurrency,0.81,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.40
Effective Decode Throughput (tokens/sec),52.37,0.00,7834.61,,,,,,35.37,,108.18,110.78,128.68,64.23
Effective Decode Throughput Per User (tokens/sec/user),52.37,0.00,7834.61,,,,,,35.37,,108.18,110.78,128.68,64.23
Effective Latency (CO-aware) (ms),17907.00,9653.30,27778.31,286511.95,9927.60,11024.82,12569.41,14026.46,18635.93,20378.20,23728.70,25605.21,27343.69,4781.83
Effective Prefill Concurrency,0.15,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.36
Effective Prefill Throughput (tokens/sec),441.43,0.00,7527.41,,,,,,0.00,,2071.78,3128.85,6486.34,1275.65
Effective Prefill Throughput Per User (tokens/sec/user),441.43,0.00,7527.41,,,,,,0.00,,2071.78,3128.85,6486.34,1275.65
Effective Total Throughput (tokens/sec),493.81,0.00,7527.41,,,,,,64.90,,2071.78,3128.85,6486.34,1257.76
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,67.94,18.00,440.00,1087.00,21.30,34.50,41.00,43.75,45.00,47.00,47.50,146.00,381.20,96.31
HTTP Chunks Sent,1.00,1.00,1.00,16.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,16.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),21.97,7.12,115.62,351.49,8.30,13.02,15.27,15.98,16.49,16.71,17.08,41.76,100.85,24.29
HTTP Data Sent (KB),34.22,31.84,35.48,547.45,31.84,31.84,32.45,33.90,34.40,35.05,35.32,35.41,35.47,1.09
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),17905.94,9652.43,27777.32,286494.97,9926.71,11023.82,12568.48,14025.61,18635.05,20377.24,23726.54,25602.41,27342.34,4781.58
HTTP Receiving (ms),15111.94,7007.13,23782.28,241791.10,7486.80,9405.50,10300.78,11407.67,14342.40,18667.18,21217.17,23410.77,23707.98,4648.09
HTTP Sending (ms),0.16,0.11,0.23,2.52,0.11,0.11,0.11,0.15,0.16,0.17,0.18,0.20,0.22,0.03
HTTP Total Time (ms),17905.94,9652.43,27777.32,286494.97,9926.71,11023.82,12568.48,14025.61,18635.05,20377.24,23726.54,25602.41,27342.34,4781.58
HTTP Waiting (TTFB) (ms),2793.83,1099.34,7885.48,44701.35,1103.19,1118.62,1200.44,1388.85,2482.33,3500.48,5004.76,6482.35,7604.86,1841.26
Input Sequence Length (tokens),8277.00,8277.00,8277.00,132432.00,8277.00,8277.00,8277.00,8277.00,8277.00,8277.00,8277.00,8277.00,8277.00,0.00
Inter Chunk Latency (ms),229.36,0.00,3738.35,241742.01,16.86,22.55,24.07,27.57,213.51,264.65,375.74,776.30,1578.09,322.58
Inter Token Latency (ms),15.53,9.97,23.24,248.54,10.00,10.12,10.56,12.00,14.95,18.46,20.92,22.88,23.17,4.16
OSL Mismatch Diff % (%),-4.00,-64.06,0.00,-64.06,-54.45,-16.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.51
