Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),61.35,0.00,39883.21,,,,,,63.16,,66.31,67.72,73.55,113.10
Active Decode Throughput Per User (tokens/sec/user),61.35,0.00,39883.21,,,,,,63.16,,66.31,67.72,73.55,113.10
Active Prefill Throughput (tokens/sec),4730.61,4730.61,4730.61,,,,,,4730.61,,4730.61,4730.61,4730.61,0.00
Active Prefill Throughput Per User (tokens/sec/user),4730.61,4730.61,4730.61,,,,,,4730.61,,4730.61,4730.61,4730.61,0.00
Active Total Throughput (tokens/sec),505.51,61.35,4730.61,,,,,,61.35,,61.35,4730.61,4730.61,1369.91
Credit-to-Start Latency (ms),1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,0.00
Decode Duration (ms),16675.68,16675.68,16675.68,16675.68,16675.68,16675.68,16675.68,16675.68,16675.68,16675.68,16675.68,16675.68,16675.68,0.00
E2E Output Token Throughput (tokens/sec/user),55.57,55.57,55.57,55.57,55.57,55.57,55.57,55.57,55.57,55.57,55.57,55.57,55.57,0.00
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.02
Effective Decode Concurrency,0.90,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.29
Effective Decode Throughput (tokens/sec),55.49,0.00,39883.21,,,,,,62.92,,66.13,67.53,73.55,109.07
Effective Decode Throughput Per User (tokens/sec/user),55.49,0.00,39883.21,,,,,,62.92,,66.13,67.53,73.55,109.07
Effective Latency (CO-aware) (ms),18429.95,18429.95,18429.95,18429.95,18429.95,18429.95,18429.95,18429.95,18429.95,18429.95,18429.95,18429.95,18429.95,0.00
Effective Prefill Concurrency,0.10,0.00,1.00,,,,,,0.00,,0.00,1.00,1.00,0.29
Effective Prefill Throughput (tokens/sec),449.85,0.00,4730.61,,,,,,0.00,,0.00,4730.61,4730.61,1387.70
Effective Prefill Throughput Per User (tokens/sec/user),449.85,0.00,4730.61,,,,,,0.00,,0.00,4730.61,4730.61,1387.70
Effective Total Throughput (tokens/sec),505.35,0.00,4730.61,,,,,,61.35,,61.35,4730.61,4730.61,1369.71
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,542.00,542.00,542.00,542.00,542.00,542.00,542.00,542.00,542.00,542.00,542.00,542.00,542.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),77.18,77.18,77.18,77.18,77.18,77.18,77.18,77.18,77.18,77.18,77.18,77.18,77.18,0.00
HTTP Connection Overhead (ms),79.05,79.05,79.05,79.05,79.05,79.05,79.05,79.05,79.05,79.05,79.05,79.05,79.05,0.00
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),282.13,282.13,282.13,282.13,282.13,282.13,282.13,282.13,282.13,282.13,282.13,282.13,282.13,0.00
HTTP Data Sent (KB),33.12,33.12,33.12,33.12,33.12,33.12,33.12,33.12,33.12,33.12,33.12,33.12,33.12,0.00
HTTP DNS Lookup (ms),1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,0.00
HTTP Duration (excl. conn) (ms),18428.60,18428.60,18428.60,18428.60,18428.60,18428.60,18428.60,18428.60,18428.60,18428.60,18428.60,18428.60,18428.60,0.00
HTTP Receiving (ms),16675.71,16675.71,16675.71,16675.71,16675.71,16675.71,16675.71,16675.71,16675.71,16675.71,16675.71,16675.71,16675.71,0.00
HTTP Sending (ms),77.58,77.58,77.58,77.58,77.58,77.58,77.58,77.58,77.58,77.58,77.58,77.58,77.58,0.00
HTTP Total Time (ms),18507.66,18507.66,18507.66,18507.66,18507.66,18507.66,18507.66,18507.66,18507.66,18507.66,18507.66,18507.66,18507.66,0.00
HTTP Waiting (TTFB) (ms),1675.31,1675.31,1675.31,1675.31,1675.31,1675.31,1675.31,1675.31,1675.31,1675.31,1675.31,1675.31,1675.31,0.00
Input Sequence Length (tokens),8293.00,8293.00,8293.00,8293.00,8293.00,8293.00,8293.00,8293.00,8293.00,8293.00,8293.00,8293.00,8293.00,0.00
Inter Chunk Latency (ms),16.30,0.00,134.22,16675.68,0.00,0.00,0.00,0.00,27.49,29.87,31.00,32.97,50.36,16.50
Inter Token Latency (ms),16.30,16.30,16.30,16.30,16.30,16.30,16.30,16.30,16.30,16.30,16.30,16.30,16.30,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Output Token Throughput Per User (tokens/sec/user),61.35,61.35,61.35,61.35,61.35,61.35,61.35,61.35,61.35,61.35,61.35,61.35,61.35,0.00
Prefill Throughput Per User (tokens/sec/user),4730.61,4730.61,4730.61,4730.61,4730.61,4730.61,4730.61,4730.61,4730.61,4730.61,4730.61,4730.61,4730.61,0.00
Reasoning Token Count (tokens),1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Request Latency (ms),18428.73,18428.73,18428.73,18428.73,18428.73,18428.73,18428.73,18428.73,18428.73,18428.73,18428.73,18428.73,18428.73,0.00
Time to First Token (ms),1753.05,1753.05,1753.05,1753.05,1753.05,1753.05,1753.05,1753.05,1753.05,1753.05,1753.05,1753.05,1753.05,0.00
Time to Second Token (ms),26.69,26.69,26.69,26.69,26.69,26.69,26.69,26.69,26.69,26.69,26.69,26.69,26.69,0.00
Tokens In Flight (tokens),8758.26,0.00,9317.00,,,,,,8759.00,,9206.00,9257.00,9304.00,358.42
Usage Completion Tokens (tokens),1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Usage Prompt Cache Read Tokens (tokens),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Usage Prompt Tokens (tokens),8293.00,8293.00,8293.00,8293.00,8293.00,8293.00,8293.00,8293.00,8293.00,8293.00,8293.00,8293.00,8293.00,0.00
Usage Reasoning Tokens (tokens),1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Usage Total Tokens (tokens),9317.00,9317.00,9317.00,9317.00,9317.00,9317.00,9317.00,9317.00,9317.00,9317.00,9317.00,9317.00,9317.00,0.00

Metric,Value
Benchmark Duration (sec),18.43
Input Token Throughput (tokens/sec),449.85
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),55.55
Overall Usage Prompt Cache Read % (%),0.00
Request Count,1.00
Request Throughput (requests/sec),0.05
Total Input Sequence Length (tokens),8293.00
Total Output Sequence Length (tokens),1024.00
Total Reasoning Tokens (tokens),1024.00
Total Token Throughput (tokens/sec),505.40
Total Usage Completion Tokens (tokens),1024.00
Total Usage Prompt Cache Read Tokens (tokens),0.00
Total Usage Prompt Tokens (tokens),8293.00
Total Usage Reasoning Tokens (tokens),1024.00
Total Usage Total Tokens (tokens),9317.00
