Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),81.11,0.00,518.79,,,,,,101.04,,102.21,103.45,107.58,48.43
Active Decode Throughput Per User (tokens/sec/user),81.11,0.00,518.79,,,,,,101.04,,102.21,103.45,107.58,48.43
Active Prefill Throughput (tokens/sec),3996.94,3996.94,3996.94,,,,,,3996.94,,3996.94,3996.94,3996.94,0.00
Active Prefill Throughput Per User (tokens/sec/user),3996.94,3996.94,3996.94,,,,,,3996.94,,3996.94,3996.94,3996.94,0.00
Active Total Throughput (tokens/sec),924.33,81.11,3996.94,,,,,,81.11,,3996.94,3996.94,3996.94,1609.62
Credit-to-Start Latency (ms),1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,0.00
Decode Duration (ms),7552.53,7552.53,7552.53,7552.53,7552.53,7552.53,7552.53,7552.53,7552.53,7552.53,7552.53,7552.53,7552.53,0.00
E2E Output Token Throughput (tokens/sec/user),63.78,63.78,63.78,63.78,63.78,63.78,63.78,63.78,63.78,63.78,63.78,63.78,63.78,0.00
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.02
Effective Decode Concurrency,0.78,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.41
Effective Decode Throughput (tokens/sec),63.62,0.00,518.79,,,,,,96.07,,102.21,103.45,107.58,54.34
Effective Decode Throughput Per User (tokens/sec/user),63.62,0.00,518.79,,,,,,96.07,,102.21,103.45,107.58,54.34
Effective Latency (CO-aware) (ms),9633.03,9633.03,9633.03,9633.03,9633.03,9633.03,9633.03,9633.03,9633.03,9633.03,9633.03,9633.03,9633.03,0.00
Effective Prefill Concurrency,0.22,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.41
Effective Prefill Throughput (tokens/sec),860.40,0.00,3996.94,,,,,,0.00,,3996.94,3996.94,3996.94,1642.76
Effective Prefill Throughput Per User (tokens/sec/user),860.40,0.00,3996.94,,,,,,0.00,,3996.94,3996.94,3996.94,1642.76
Effective Total Throughput (tokens/sec),924.02,0.00,3996.94,,,,,,81.11,,3996.94,3996.94,3996.94,1609.44
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),15.64,15.64,15.64,15.64,15.64,15.64,15.64,15.64,15.64,15.64,15.64,15.64,15.64,0.00
HTTP Connection Overhead (ms),17.15,17.15,17.15,17.15,17.15,17.15,17.15,17.15,17.15,17.15,17.15,17.15,17.15,0.00
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),10.16,10.16,10.16,10.16,10.16,10.16,10.16,10.16,10.16,10.16,10.16,10.16,10.16,0.00
HTTP Data Sent (KB),33.10,33.10,33.10,33.10,33.10,33.10,33.10,33.10,33.10,33.10,33.10,33.10,33.10,0.00
HTTP DNS Lookup (ms),1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,0.00
HTTP Duration (excl. conn) (ms),9631.70,9631.70,9631.70,9631.70,9631.70,9631.70,9631.70,9631.70,9631.70,9631.70,9631.70,9631.70,9631.70,0.00
HTTP Receiving (ms),7557.80,7557.80,7557.80,7557.80,7557.80,7557.80,7557.80,7557.80,7557.80,7557.80,7557.80,7557.80,7557.80,0.00
HTTP Sending (ms),16.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,0.00
HTTP Total Time (ms),9648.85,9648.85,9648.85,9648.85,9648.85,9648.85,9648.85,9648.85,9648.85,9648.85,9648.85,9648.85,9648.85,0.00
HTTP Waiting (TTFB) (ms),2057.90,2057.90,2057.90,2057.90,2057.90,2057.90,2057.90,2057.90,2057.90,2057.90,2057.90,2057.90,2057.90,0.00
Input Sequence Length (tokens),8290.00,8290.00,8290.00,8290.00,8290.00,8290.00,8290.00,8290.00,8290.00,8290.00,8290.00,8290.00,8290.00,0.00
Inter Chunk Latency (ms),302.10,47.26,1143.93,7552.53,90.62,229.74,238.05,240.29,241.34,243.85,348.87,764.62,1074.57,215.78
Inter Token Latency (ms),12.32,12.32,12.32,12.32,12.32,12.32,12.32,12.32,12.32,12.32,12.32,12.32,12.32,0.00
